date,trump
2016-08-07,17
2016-08-08,14
2016-08-09,19
2016-08-10,21
2016-08-11,24
2016-08-12,13
2016-08-13,15
2016-08-14,18
2016-08-15,15
2016-08-16,13
2016-08-17,19
2016-08-18,13
2016-08-19,22
2016-08-20,17
2016-08-21,14
2016-08-22,17
2016-08-23,17
2016-08-24,32
2016-08-25,33
2016-08-26,21
2016-08-27,16
2016-08-28,16
2016-08-29,14
2016-08-30,13
2016-08-31,20
2016-09-01,18
2016-09-02,7
2016-09-03,10
2016-09-04,21
2016-09-05,14
2016-09-06,10
2016-09-07,14
2016-09-08,15
2016-09-09,11
2016-09-10,18
2016-09-11,11
2016-09-12,15
2016-09-13,15
2016-09-14,18
2016-09-15,16
2016-09-16,20
2016-09-17,21
2016-09-18,14
2016-09-19,11
2016-09-20,12
2016-09-21,10
2016-09-22,14
2016-09-23,15
2016-09-24,10
2016-09-25,15
2016-09-26,18
2016-09-27,55
2016-09-28,25
2016-09-29,25
2016-09-30,23
2016-10-01,14
2016-10-02,27
2016-10-03,20
2016-10-04,18
2016-10-05,23
2016-10-06,33
2016-10-07,21
2016-10-08,76
2016-10-09,71
2016-10-10,86
2016-10-11,47
2016-10-12,39
2016-10-13,39
2016-10-14,36
2016-10-15,23
2016-10-16,32
2016-10-17,26
2016-10-18,29
2016-10-19,24
2016-10-20,56
2016-10-21,32
2016-10-22,27
2016-10-23,24
2016-10-24,22
2016-10-25,29
2016-10-26,28
2016-10-27,33
2016-10-28,24
2016-10-29,19
2016-10-30,22
2016-10-31,23
2016-11-01,26
2016-11-02,32
2016-11-03,35
2016-11-04,38
2016-11-05,29
2016-11-06,67
2016-11-07,49
2016-11-08,100
