date,trump
2016-08-07,17
2016-08-08,14
2016-08-09,18
2016-08-10,25
2016-08-11,20
2016-08-12,19
2016-08-13,14
2016-08-14,19
2016-08-15,15
2016-08-16,24
2016-08-17,18
2016-08-18,13
2016-08-19,18
2016-08-20,16
2016-08-21,16
2016-08-22,14
2016-08-23,16
2016-08-24,14
2016-08-25,14
2016-08-26,11
2016-08-27,11
2016-08-28,12
2016-08-29,11
2016-08-30,8
2016-08-31,17
2016-09-01,20
2016-09-02,13
2016-09-03,12
2016-09-04,9
2016-09-05,14
2016-09-06,11
2016-09-07,12
2016-09-08,16
2016-09-09,12
2016-09-10,11
2016-09-11,10
2016-09-12,14
2016-09-13,13
2016-09-14,17
2016-09-15,15
2016-09-16,14
2016-09-17,14
2016-09-18,14
2016-09-19,10
2016-09-20,16
2016-09-21,13
2016-09-22,14
2016-09-23,14
2016-09-24,14
2016-09-25,16
2016-09-26,20
2016-09-27,73
2016-09-28,30
2016-09-29,25
2016-09-30,22
2016-10-01,22
2016-10-02,28
2016-10-03,28
2016-10-04,24
2016-10-05,27
2016-10-06,23
2016-10-07,27
2016-10-08,100
2016-10-09,78
2016-10-10,77
2016-10-11,52
2016-10-12,43
2016-10-13,47
2016-10-14,41
2016-10-15,37
2016-10-16,35
2016-10-17,36
2016-10-18,31
2016-10-19,30
2016-10-20,69
2016-10-21,32
2016-10-22,30
2016-10-23,30
2016-10-24,27
2016-10-25,26
2016-10-26,26
2016-10-27,27
2016-10-28,26
2016-10-29,31
2016-10-30,25
2016-10-31,28
2016-11-01,34
2016-11-02,39
2016-11-03,30
2016-11-04,33
2016-11-05,41
2016-11-06,55
2016-11-07,49
2016-11-08,88
