,state,score
0,US,26.54255319148936
1,US-AL,13.27127659574468
2,US-AK,13.27127659574468
3,US-AZ,13.27127659574468
4,US-AR,13.27127659574468
5,US-CA,35.61702127659574
6,US-CO,13.27127659574468
7,US-CT,13.27127659574468
8,US-DE,13.27127659574468
9,US-DC,13.27127659574468
10,US-FL,25.93617021276596
11,US-GA,13.27127659574468
12,US-HI,13.27127659574468
13,US-ID,13.27127659574468
14,US-IL,22.680851063829788
15,US-IN,13.27127659574468
16,US-IA,13.27127659574468
17,US-KS,13.27127659574468
18,US-KY,13.27127659574468
19,US-LA,13.27127659574468
20,US-ME,13.27127659574468
21,US-MD,13.27127659574468
22,US-MA,13.27127659574468
23,US-MI,13.27127659574468
24,US-MN,13.27127659574468
25,US-MS,13.27127659574468
26,US-MO,13.27127659574468
27,US-MT,13.27127659574468
28,US-NE,13.27127659574468
29,US-NV,13.27127659574468
30,US-NH,13.27127659574468
31,US-NJ,20.98936170212766
32,US-NM,13.27127659574468
33,US-NY,28.02127659574468
34,US-NC,13.27127659574468
35,US-ND,13.27127659574468
36,US-OH,13.27127659574468
37,US-OK,13.27127659574468
38,US-OR,13.27127659574468
39,US-PA,15.76595744680851
40,US-RI,13.27127659574468
41,US-SC,13.27127659574468
42,US-SD,13.27127659574468
43,US-TN,13.27127659574468
44,US-TX,28.22340425531915
45,US-UT,13.27127659574468
46,US-VT,13.27127659574468
47,US-VA,13.27127659574468
48,US-WA,14.212765957446809
49,US-WV,13.27127659574468
50,US-WI,13.27127659574468
51,US-WY,13.27127659574468
