date,text
2020-06-08,cnn poll: trump losing ground to biden amid chaotic week
2020-06-08,us and russia to meet for nuclear arms talks
2020-06-08,barr contradicts trump: 'the secret service recommended that the president go down to the bunker' for safety
2020-06-08,washington post: bolton plans to publish book in june even if white house doesn't give approval
2020-06-08,here's a number that should terrify every republican on the ballot this fall
2020-06-08,china's economy is still struggling to recover from the pandemic
2020-06-08,trump homeland security official says he believes george floyd would not have been spared if he were white
2020-06-08,"the coronavirus may be out of headlines, but it has not gone away"
2020-06-09,bill barr contradicts trump on his move to the wh bunker
2020-06-09,"romney, once standard-bearer of party, is now the lone gop voice willing to stand up to trump"
2020-06-09,opinion: trump's tweet on injured 75-year-old shows there's no bottom
2020-06-09,trump floats another dangerous conspiracy theory
2020-06-09,trump brings back 2016 campaign veterans
2020-06-09,dozens of republicans urge trump not to pull us troops from germany
2020-06-09,will republicans finally break with donald trump?
2020-06-09,why campaign rallies won't save donald trump
2020-06-09,fact check: mcenany makes false claim about romney's share of black vote
2020-06-09,"trump jr.'s mongolian sheep hunting trip cost taxpayers about $75,000, documents show"
2020-06-09,"white house prepares new immigration limits, using coronavirus as cover"
2020-06-09,trump eyes police reforms while ignoring systemic racism
2020-06-09,"a world away from washington, loyal supporters stand by the president in trump country"
2020-06-09,states courting trump directly as party officials scramble to find new city for gop convention
2020-06-09,why republican senators don't get to say they just don't follow trump's tweets
2020-06-09,the fight to be trump's political heir is on
2020-06-09,gop senators dodge questions after trump asks if buffalo man injured by police was a 'set up'
2020-06-09,i wrote this law to protect free speech. now trump wants to revoke it
2020-06-09,reckoning over floyd's death and calls to defund police challenge trump and biden
2020-06-09,wall street journal: trump came close to firing esper due to dispute over protest response
2020-06-10,haberman: why trump won't remove confederate names
2020-06-10,"hannity: president trump is a victim of crooked cops, too"
2020-06-10,florida voter: trump means well; he loves our country
2020-06-10,"se cupp: for trump, continued chaos is the plan"
2020-06-10,white house defends trump tweet about buffalo protester
2020-06-10,barr tells dc mayor federal law enforcement was necessary because of unrest
2020-06-10,capitol hill republicans watch trump's eroding standing with unease
2020-06-10,"i love the new york times, but what they did was wrong"
2020-06-10,the story behind trump's conspiracy theory tweet
2020-06-10,what george p. bush's endorsement of donald trump tells us about republican politics
2020-06-10,trump opposed to stripping confederate names from us bases
2020-06-10,supporters stand by the us president in trump country
2020-06-10,friend of man shoved by police 'horrified' by trump's tweet
2020-06-10,can donald trump still win?
2020-06-10,"a new federal rule will make it easier to hunt bears, wolves on national preserves in alaska"
2020-06-10,president trump announces plans for rally in tulsa next week
2020-06-10,trump tackles policing reform from administration still lacking diversity
2020-06-10,the stock market no longer cares whether trump wins
2020-06-10,trump weighs executive action on police reform ahead of dallas roundtable
2020-06-10,trump campaign demands cnn apologize for poll that shows biden leading
2020-06-11,read the fine print before you go to this trump rally
2020-06-11,trump authorizes sanctions against international criminal court
2020-06-11,press secretary claims juneteenth is a 'meaningful day' to trump but others see racist play
2020-06-11,biden: trump will try to steal this election
2020-06-11,trump warns against 'falsely labeling' people as racists
2020-06-11,trump heads to dallas for campaign fundraiser and roundtable
2020-06-11,trump administration proposes sweeping changes to us asylum system in new rule
2020-06-11,opinion: time for pence to jump ship?
2020-06-11,gop-led senate panel authorizes subpoenas of top obama officials
2020-06-11,"america is in crisis, but 'the biggest casino in the world' is open for business"
2020-06-11,what is juneteenth and why people are talking about it now
2020-06-11,general apologizes for appearing in photo-op with trump: i should not have been there
2020-06-11,two london police officers attacked in 'shocking' incident
2020-06-11,trump and nascar diverge over the place for symbols of america's racist past
2020-06-11,reporter asks mcenany what juneteenth means to trump
2020-06-11,seattle mayor tells trump to 'go back to your bunker' after he criticizes her handling of protests
2020-06-11,trump and biden are raking in millions in recent weeks with the help of elite fundraisers
2020-06-11,white house coronavirus task forces continues retreat even as virus reemerges
2020-06-11,trump is getting his reopening even as the virus takes another swipe
2020-06-11,trump campaign selling 'baby lives matter' onesie on website
2020-06-12,anderson cooper suggests trump admit his mistakes
2020-06-12,trump says scheduling his next rally on juneteenth wasn't intentional
2020-06-12,trump to accept nomination in jacksonville after moving most of convention out of charlotte
2020-06-12,black sheriff on exclusion from trump event: it says a lot
2020-06-12,opinion: i'm over 60. stop talking about coronavirus 'culling' me
2020-06-12,10 military posts are named for confederate commanders. the army may change that
2020-06-12,"if he loses, the next donald trump could be ... donald trump"
2020-06-12,why doesn't donald trump say 'socialism' anymore?
2020-06-12,trump administration rolls back obama-era transgender health care protections
2020-06-12,us soccer star slams trump: 'you're supposed to help ... not throw oil onto the fire'
2020-06-12,"what if the next donald trump is, well, donald trump?"
2020-06-12,trump tries to stop subpoenas in emoluments case as doj plans appeal to supreme court
2020-06-12,trump defiant as cultural change sweeps america
2020-06-12,new melania trump book says she renegotiated her prenuptial agreement
2020-06-12,"trump administration continues to expel most migrants at southern border, may data shows"
2020-06-12,trump administration says no plans to expedite harriet tubman on the $20 bill: nyt
2020-06-12,"the point: a wild, pro-trump conspiracy theory group is about to get its first congresswoman"
2020-06-12,trump's decision to hold a tulsa rally on juneteenth is no coincidence
2020-06-12,black lives matter protests across the us and world
2020-06-12,justice department to release a less-redacted version of the mueller report
2020-06-13,arizona republican explains why she'll support biden
2020-06-13,trump reschedules tulsa rally 'out of respect' for juneteenth - cnn
2020-06-13,joe biden is winning female voters by a historic margin
2020-06-13,trump is kicking the lgbtq community while we're down
2020-06-13,trump will address a socially distanced west point graduation saturday
2020-06-13,trump makes a rare retreat by rescheduling juneteenth rally in tulsa
2020-06-13,the problem trump's west point speech can't fix
2020-06-13,these lifelong republicans may vote for biden come november
2020-06-13,revisiting lady bird johnson's whistle-stop tour and what melania trump isn't using the first lady's office for
2020-06-13,make juneteenth a national holiday now
2020-06-13,fauci says states should rethink reopenings if hospitalizations increase and urges trump rally attendees to wear masks
2020-06-13,facebook employee fired for calling out coworker's inaction about black lives matter
2020-06-13,woman becomes first observant sikh to graduate from the us military academy at west point
2020-06-13,federal government abdicates duty to inform public on coronavirus
2020-06-13,jones says it's tough for sessions to be on 'right side of history' in twitter spat over confederate-named military bases
2020-06-13,"roger goodell saying black lives matter is 'almost like a slap in the face,' michael bennett says"
2020-06-13,fox news publishes digitally altered and misleading images of seattle demonstrations
2020-06-13,"cuomo, de blasio don't want to see christopher columbus statue removed or nyc's columbus circle renamed"
2020-06-13,the reckoning: reinvention in the rust belt
2020-06-14,"tapper: trump standing firm with 'dead, racist losers'"
2020-06-14,why military leaders rejected trump's view of racial conflict
2020-06-14,trump's latest target on twitter is comcast
2020-06-14,stelter on fox news: you can't just quote trump lying
2020-06-14,congressman who officiated same-sex wedding loses gop nomination
2020-06-14,police reforms quickly take hold across america. it's only just getting started
2020-06-14,the myth trump is modeling
2020-06-14,top trump official says people attending president's rally should 'probably' wear face masks
2020-06-14,top trump official says people attending president's rally should 'probably' wear face masks
2020-06-14,history says trump's low approval rating is unlikely to move
2020-06-14,washington post: officials familiar with lafayette square confrontation undercut trump administration narrative
2020-06-14,"trump looks out of touch now, but it's too early to say he's doomed in november"
2020-06-14,virginia congressman who officiated same-sex wedding loses gop nomination in drive-thru convention
2020-06-14,"start your monday smart: flag day, refugees, solstice, juneteenth, trump's birthday"
2020-06-14,"in the black lives matter movement, immigrants find themselves in a tough position"
2020-06-14,inside one reporter's experience from ferguson to floyd
2020-06-14,brian stelter challenges trump attorney jenna ellis - cnn video
2020-06-15,republicans urge trump not to terminate relationship with world health organization
2020-06-15,biden campaign says it raised nearly $81 million in may
2020-06-15,we can no longer be fired because of who we are
2020-06-15,why the donald trump-west point ramp story actually matters
2020-06-15,my birthday wish for trump
2020-06-15,let's dispel the biggest myth of the 2016 election
2020-06-15,ben carson is urging trump to rethink his opposition to those who kneel in protest during the national anthem
2020-06-15,trump to rally for tuberville in jeff sessions' hometown in senate gop primary fight
2020-06-15,donald trump's tulsa rally is a very bad idea
2020-06-15,melania trump launches children's art project on 100th anniversary of women's right to vote
2020-06-15,don't be fooled into thinking republicans are split over trump
2020-06-15,trump expected to sign modest police reform order on tuesday
2020-06-15,the remarkable idiocy of holding a trump rally in tulsa
2020-06-15,"trump defends cautious walk down ramp, which raised questions about his health"
2020-06-15,voice of america top officials resign as trump-appointed ceo takes over international network
2020-06-15,tulsa health director wishes trump would postpone rally because of spike in covid-19 cases
2020-06-15,inspectors general warn congress that treasury might be curtailing stimulus oversight abilities
2020-06-15,republican leaders aren't embracing white house adviser's suggestion of $2 trillion stimulus
2020-06-15,us postal service faces challenges as new postmaster takes over
2020-06-15,supreme court won't hear challenge to california sanctuary law
2020-06-16,who will be the next donald trump?
2020-06-16,"trump: without police, there is chaos"
2020-06-16,"cooper: trump believes if you close your eyes, things go away"
2020-06-16,oversight war on covid relief aid starts to boil over
2020-06-16,author of revealing new book about melania trump speaks out
2020-06-16,ex-prosecutor calls trump's police reform a 'slap in the face'
2020-06-16,democrats roll out new tool to combat voter purges
2020-06-16,trump isn't aging well
2020-06-16,trump administration sues bolton over book dispute
2020-06-16,reverend reveals what evangelicals say privately about trump
2020-06-16,trump team concerned over release of bolton's book
2020-06-16,trump indicates he's not budging on reducing number of us troops in germany
2020-06-16,most officials at white house event did not wear a mask
2020-06-16,former trump adviser john bolton's impending book elicits angry reaction from president trump
2020-06-16,opinion: what trump and congress can do now on policing
2020-06-16,fact-checking trump and barr's attacks on john bolton's book
2020-06-16,trump's wish for an end to the pandemic contradicts reality
2020-06-16,"police database, credentialing efforts included in modest trump order on policing"
2020-06-16,read: president trump's executive order on police reform
2020-06-16,donald trump isn't *really* interested in police reform
2020-06-17,acosta to mcenany: will trump take responsibility if rallygoers get sick?
2020-06-17,cooper: don't need bs detector to know trump is lying
2020-06-17,don lemon puzzled by trump official: are you incentivising police to do their jobs?
2020-06-17,the president doesn't want americans to see information that could harm the narrative he has constructed
2020-06-17,'they're in denial': how trump's white house is ignoring the pandemic
2020-06-17,bolton says in interview that putin thinks he can play trump like a fiddle
2020-06-17,12 false claims trump has made about obama since last month
2020-06-17,"'that is, if true, obscene': tapper reacts to bolton's claim"
2020-06-17,trump scrambles to suppress inconvenient information with bolton book and coronavirus
2020-06-17,nyt: bolton book says impeachment probe should have investigated trump's actions beyond ukraine
2020-06-17,trump's tulsa rally and biden's social distancing show differences in campaigning amid a pandemic
2020-06-17,"trump asked china's xi to help him win 2020 election, bolton claims in excerpt of new book"
2020-06-17,anti-trump republican group launches new ad attacking president over china policies
2020-06-17,trump signs uyghur human rights bill on same day bolton alleges he told xi to proceed with detention camps
2020-06-17,trump says colin kaepernick should be given another chance in the nfl 'if he has the playing ability'
2020-06-17,the psychologist in the trump family speaks
2020-06-17,bob woodward's new book on trump administration coming this september
2020-06-17,senate passes sweeping conservation legislation in bipartisan vote
2020-06-17,bolton accuses trump of lying ahead of book publication
2020-06-17,"donald trump, the stock market cheerleader-in-chief is back"
2020-06-18,trump says he made juneteenth famous. see lemon's reaction.
2020-06-18,trump says kaepernick should be given another chance
2020-06-18,read: scotus opinion blocking trump attempt to end daca
2020-06-18,trump claims he deserves credit for making juneteenth 'very famous'
2020-06-18,trump reacts to bombshells from john bolton's new book
2020-06-18,"voter: if you don't go vote, you're voting for trump"
2020-06-18,china responds to explosive allegations
2020-06-18,gop lawmakers tear into john roberts over daca ruling
2020-06-18,jeffrey toobin explains supreme court decision on daca
2020-06-18,coronavirus cases are spiking across the country and experts say florida has the makings of the next epicenter
2020-06-18,john roberts defies trump and conservatives with another legacy decision
2020-06-18,when it comes to the pandemic or foreign policy -- it's all about trump
2020-06-18,facebook takes down trump ads 'for violating our policy against organized hate'
2020-06-18,here's proof donald trump knows he's losing
2020-06-18,the trump presidency is at its absolute lowest point right now
2020-06-18,what happens next to the dreamers is on trump
2020-06-18,trump and pence: a two-man covid-19 gaslighting act
2020-06-18,"in repeat of 2016 strategy, trump pledges new list of justices after two stinging supreme court losses"
2020-06-18,what the supreme court's ruling means for daca participants and immigrants
2020-06-18,joe biden launches his first general election tv ads
2020-06-19,mick mulvaney on trump: 'he didn't hire very well'
2020-06-19,lawmakers demand answers on firing spree at global media agency
2020-06-19,toobin: roberts won't be pushed around by trump
2020-06-19,how risky is it to attend a trump campaign rally during a pandemic?
2020-06-19,chaos in the koreas sees kim jong un's sister emerge stronger than ever
2020-06-19,trump can't stop talking about that west point ramp
2020-06-19,van jones revisits 3 trump voters amid national unrest
2020-06-19,twitter labels video trump tweeted as 'manipulated media'
2020-06-19,"donald trump makes terrible hires, according to donald trump"
2020-06-19,trump threatens protesters ahead of tulsa rally
2020-06-19,trump adds uncertainty to future of daca participants
2020-06-19,the past catches up to trump
2020-06-19,president trump's bad run keeps getting worse
2020-06-19,why john bolton may lose book earnings
2020-06-19,acosta to mcenany: doesn't sharing fake videos make you fake news?
2020-06-19,trump administration finalizes rule that could lead to delays in work for asylum seekers
2020-06-19,how trump plans to turn around his losing campaign
2020-06-19,nebraska's governor is trying to one-up trump on masks
2020-06-19,pompeo calls bolton 'a traitor' as trump administration scrambles to halt book release
2020-06-19,trump made 192 false claims from may 4 through june 7
2020-06-20,trump supporter on tulsa rally: i want to be front row
2020-06-20,trump attacks john bolton on twitter after ruling
2020-06-20,trump holds first campaign rally since coronavirus pandemic began
2020-06-20,is trump campaign liable if a rallygoer catches covid-19?
2020-06-20,dad of child in manipulated trump video: it was propaganda
2020-06-20,can trump fire and replace us attorney for sdny?
2020-06-20,trump cancels overflow crowd address due to low turnout
2020-06-20,read: ag barr's letter telling us attorney he's been fired by trump
2020-06-20,smerconish: here's why trump wants to pack rally amid covid concerns
2020-06-20,dr. gupta: trump tulsa rally risks an anatomy of an outbreak
2020-06-20,'good for him': preet bharara on us attorney's refusal to leave
2020-06-20,legal analyst equates firing to a 'friday night massacre'
2020-06-20,"arizonans see big jump in coronavirus cases, but don't see reason to wear masks"
2020-06-20,states failed to get absentee ballots to thousands of voters in recent primaries
2020-06-20,six campaign staffers working on trump's tulsa rally test positive for coronavirus
2020-06-20,"trump holds rally in tulsa, oklahoma"
2020-06-20,"trump has fired berman, barr says"
2020-06-20,trump's chilling distortion of 'law and order'
2020-06-20,trump campaign manager says he wasn't able to vote in 2016 because of absentee complications
2020-06-20,analysis: attempt to fire powerful ny prosecutor appears to be latest move to protect trump
2020-06-21,"tapper: once again, trump is revealing this"
2020-06-21,in pictures: trump returns to campaign trail
2020-06-21,biden campaign blasts trump's 'outrageous' comments on coronavirus testing
2020-06-21,stelter on trump claim: that was a lie
2020-06-21,president of naacp: trump is fanning flames of racial hatred
2020-06-21,stelter: what's good for public health is bad for trump
2020-06-21,'a yawn of a launch': presidential historian weighs in on trump rally
2020-06-21,opinion: trump gets roasted for tulsa crowd size
2020-06-21,analysis: why trump is already sowing doubts about november's vote
2020-06-21,zakaria: bolton's book paints a picture of trump as ignorant
2020-06-21,borger: to hear this come out of president's mouth is disgraceful
2020-06-21,trump adviser claims bolton could face jail time after judge allows book to proceed
2020-06-21,fewer trump fans came than expected. those who did explain why
2020-06-21,toobin: this makes incompetence of justice department so clear
2020-06-21,opinion: donald trump's heartless week
2020-06-21,'a travesty': dr. gupta reacts to trump's testing remark
2020-06-21,atlanta mayor calls trump's tulsa rally 'an embarrassment'
2020-06-21,white house official dismissed the president's coronavirus testing comment as 'tongue in cheek.' but it wasn't trump's first time.
2020-06-21,"jared kushner and ivanka trump 'pissed' at trump campaign manager over his rally crowd size predictions, source says"
2020-06-21,there's no sign of 'hidden' trump voters
2020-06-22,analysis: why everyone who works for trump should be very nervous right now
2020-06-22,republican mayor says no rallies in miami
2020-06-22,gov. cuomo: i believe this is a setup by president trump
2020-06-22,keilar to trump campaign official: is this funny to you?
2020-06-22,bolton book oozes with contempt
2020-06-22,"trump spreads new lies about foreign-backed voter fraud, stoking fears of a 'rigged election'"
2020-06-22,bolton on why he won't vote for trump
2020-06-22,trump's 'kidding' on testing exposes his negligence as virus spikes
2020-06-22,bolton hopes trump will be remembered as a one-term president
2020-06-22,white house says trump was involved in firing
2020-06-22,biden campaign agrees to 3 debates with trump and slams push for more debates as a 'distraction'
2020-06-22,fact check: trump falsely claims president george w. bush fired john bolton
2020-06-22,trump delayed sanctions on chinese officials involved in detention camps to avoid problems with trade deal
2020-06-22,"so, what if trump *was* joking about coronavirus testing?"
2020-06-22,trump's removal of hong kong's special status hurts the us more than china
2020-06-22,trump extends limits on some work visas through 2020
2020-06-22,k-pop fans deserve credit for trump rally activism
2020-06-22,mcenany defends trump using racist term to refer to coronavirus
2020-06-22,two more trump staffers test positive for coronavirus after tulsa rally
