date,final_score
2020-05-28,124.3112520554381
2020-05-29,113.13259423503325
2020-05-30,78.95691609977325
2020-05-31,66.74352941176471
2020-06-01,93.48735475051265
2020-06-02,143.76606978879707
2020-06-03,132.0716049382716
2020-06-04,74.19378542935125
2020-06-05,85.11647727272727
2020-06-06,129.7339246119734
2020-06-07,123.8911992263056
2020-06-08,81.22933884297521
2020-06-09,119.27864693446088
2020-06-10,106.505772005772
2020-06-11,123.79899916597165
2020-06-12,104.97107438016529
2020-06-13,85.26504481434058
2020-06-14,103.66788487894016
2020-06-15,91.8083778966132
2020-06-16,115.92288557213931
2020-06-17,86.66391898257183
2020-06-18,131.61151079136692
2020-06-19,123.04982713036404
2020-06-20,119.95464946952362
2020-06-21,153.29693804889627
2020-06-22,126.58681818181817
2020-06-23,136.80756159728122
2020-06-24,128.90317634173056
2020-06-25,138.33742458914082
2020-06-26,129.7564935064935
2020-06-27,86.23248212461695
2020-06-28,116.247582205029
2020-06-29,87.20679320679321
