date,final_score
2020-05-28,13.204692817862334
2020-05-29,59.29691788239099
2020-05-30,63.31819815407233
2020-05-31,35.58466125398788
2020-06-01,19.152730916092988
2020-06-02,22.22909744344711
2020-06-03,10.486477931055601
2020-06-04,24.292337478282537
2020-06-05,16.3775
2020-06-06,5.251590909090909
2020-06-07,11.80860606060606
2020-06-08,23.344207792207794
2020-06-09,11.586822431391239
2020-06-10,13.719123966942147
2020-06-11,11.687070247933883
2020-06-12,33.53454545454546
2020-06-13,107.24155844155845
2020-06-14,142.99324242424242
2020-06-15,125.20156439393938
2020-06-16,68.47954545454547
2020-06-17,67.0481212121212
2020-06-18,40.61913636363636
2020-06-19,30.00093939393939
2020-06-20,19.823999999999998
2020-06-21,33.706878787878786
2020-06-22,27.494727272727275
2020-06-23,24.001772727272726
2020-06-24,28.107954545454547
2020-06-25,25.74354545454546
2020-06-26,24.319590909090913
2020-06-27,32.05874747474748
2020-06-28,16.81053994490358
2020-06-29,22.624727272727274
