40,45
10,15
27,32
32,37
14,19
27,32
58,63
106,111
17,22
18,23
58,63
0,5
52,57
9,14
42,47
44,49
46,51
26,31
34,39
15,20
23,28
1,6
9,14
23,28
17,22
34,39
25,30
55,60
44,49
0,5
38,43
0,5
10,15
64,69
41,46
0,5
35,40
0,5
0,5
38,43
47,52
15,20
24,29
49,54
0,5
27,32
8,13
0,5
26,31
30,35
0,5
7,12
71,76
0,5
44,49
0,5
17,22
87,92
29,34
14,19
21,26
45,50
26,31
16,21
42,47
3,8
49,54
0,5
8,13
0,5
0,5
0,5
14,19
41,46
10,15
7,12
19,24
93,98
19,24
40,45
22,27
0,5
10,15
17,22
0,5
22,27
88,93
9,14
0,5
0,5
27,32
43,48
39,44
0,5
0,5
73,78
16,21
64,69
16,21
35,40
45,50
66,71
21,26
14,19
19,24
15,20
13,18
20,25
31,36
17,22
44,49
0,5
40,45
46,51
11,16
10,15
0,5
41,46
0,5
0,5
42,47
0,5
59,64
7,12
0,5
0,5
0,5
50,55
0,5
47,52
20,25
0,5
0,5
0,5
25,30
0,5
0,5
32,37
29,34
19,24
0,5
21,26
24,29
0,5
0,5
12,17
0,5
0,5
23,28
0,5
0,5
0,5
0,5
0,5
12,17
66,71
83,88
8,13
30,35
0,5
42,47
9,14
4,9
4,9
13,18
81,86
0,5
67,72
25,30
17,22
15,20
21,26
21,26
0,5
7,12
8,13
57,62
0,5
35,40
0,5
41,46
29,34
28,33
0,5
8,13
43,48
20,25
0,5
0,5
55,60
0,5
0,5
7,12
14,19
14,19
0,5
58,63
16,21
7,12
24,29
39,44
21,26
25,30
55,60
16,21
0,5
65,70
0,5
0,5
5,10
0,5
0,5
24,29
27,32
15,20
7,12
0,5
0,5
30,35
0,5
0,5
47,52
20,25
66,71
20,25
20,25
4,9
40,45
0,5
28,33
17,22
42,47
28,33
0,5
21,26
21,26
7,12
0,5
0,5
23,28
10,15
0,5
4,9
40,45
35,40
0,5
0,5
0,5
0,5
3,8
28,33
4,9
0,5
62,67
23,28
11,16
33,38
0,5
0,5
0,5
0,5
86,91
20,25
13,18
22,27
11,16
20,25
50,55
58,63
9,14
14,19
43,48
0,5
6,11
16,21
34,39
20,25
111,116
25,30
28,33
37,42
51,56
10,15
0,5
32,37
0,5
13,18
17,22
40,45
12,17
0,5
12,17
0,5
0,5
30,35
16,21
9,14
10,15
40,45
21,26
0,5
8,13
59,64
0,5
10,15
92,97
0,5
26,31
21,26
0,5
0,5
24,29
27,32
32,37
9,14
33,38
17,22
11,16
48,53
12,17
0,5
8,13
12,17
0,5
10,15
51,56
0,5
0,5
0,5
22,27
7,12
9,14
58,63
0,5
10,15
0,5
7,12
11,16
26,31
0,5
18,23
0,5
0,5
48,53
0,5
50,55
0,5
0,5
0,5
0,5
12,17
0,5
0,5
12,17
0,5
27,32
10,15
0,5
10,15
38,43
20,25
17,22
0,5
