date,final_score
2016-10-08,99.86140291426635
2016-10-09,96.45454545454545
2016-10-10,105.08821157877762
2016-10-11,93.9221633473415
2016-10-12,115.06820305200873
2016-10-13,108.41724429416738
2016-10-14,110.35337588176016
2016-10-15,99.86431165401123
2016-10-16,97.765112831494
2016-10-17,105.17323585505403
2016-10-18,114.78982300884955
2016-10-19,111.70021413276231
2016-10-20,116.2588312974579
2016-10-21,106.27060986821942
2016-10-22,101.23731587561375
2016-10-23,91.51841491841492
2016-10-24,92.78380893300248
2016-10-25,115.76686147528036
2016-10-26,116.81239050804268
2016-10-27,86.04973474801061
2016-10-28,108.07692307692308
2016-10-29,96.74136245110822
2016-10-30,102.00811359026369
2016-10-31,110.08695652173913
2016-11-01,92.87013236140419
2016-11-02,123.96166796166796
2016-11-03,84.84839098261918
2016-11-04,84.25760286225402
2016-11-05,107.98658856173887
2016-11-06,94.47870584351271
