date,final_score
2016-10-08,96.21576763485477
2016-10-09,100.0
2016-10-10,105.4412274189557
2016-10-11,113.63358024691358
2016-10-12,103.55836849507736
2016-10-13,125.4167230110435
2016-10-14,101.96433470507544
2016-10-15,102.14473684210526
2016-10-16,102.46610169491525
2016-10-17,103.53269537480064
2016-10-18,114.75040257648952
2016-10-19,103.29690775681341
2016-10-20,101.71460176991151
2016-10-21,120.45929018789144
2016-10-22,112.30305100182149
2016-10-23,96.03238866396761
2016-10-24,125.56589147286823
2016-10-25,88.31901840490798
2016-10-26,103.22222222222223
2016-10-27,115.16441601516229
2016-10-28,109.12991833704528
2016-10-29,102.29508196721311
2016-10-30,100.0
2016-10-31,131.19280330658887
2016-11-01,107.60143949617634
2016-11-02,142.59353023909986
2016-11-03,117.26984126984127
2016-11-04,128.26724763979666
2016-11-05,102.30201342281879
2016-11-06,136.62777777777777
