date,score_mn
2020-06-05,1.925
2020-06-06,1.8800000000000001
2020-06-07,1.7714285714285714
2020-06-08,1.83
2020-06-09,2.025
2020-06-10,1.825
2020-06-11,1.71
2020-06-12,1.775
2020-06-13,2.125
2020-06-14,1.75
2020-06-15,1.8875
2020-06-16,1.63
2020-06-17,1.945
2020-06-18,1.765
2020-06-19,1.74
2020-06-20,1.8250000000000002
2020-06-21,1.4527272727272726
2020-06-22,1.6875
2020-06-23,1.8498827292110875
2020-06-24,1.805
2020-06-25,1.875
2020-06-26,1.975
2020-06-27,1.8
2020-06-28,1.9375
2020-06-29,1.6973684210526316
2020-06-30,1.8399999999999999
2020-07-01,1.925
2020-07-02,1.9000000000000001
2020-07-03,1.7976545842217484
2020-07-04,1.7976545842217484
