date,obama immigration,isPartial
2012-08-06,29,False
2012-08-07,30,False
2012-08-08,32,False
2012-08-09,27,False
2012-08-10,26,False
2012-08-11,26,False
2012-08-12,14,False
2012-08-13,36,False
2012-08-14,45,False
2012-08-15,97,False
2012-08-16,78,False
2012-08-17,55,False
2012-08-18,46,False
2012-08-19,27,False
2012-08-20,32,False
2012-08-21,40,False
2012-08-22,21,False
2012-08-23,22,False
2012-08-24,24,False
2012-08-25,12,False
2012-08-26,19,False
2012-08-27,28,False
2012-08-28,35,False
2012-08-29,23,False
2012-08-30,29,False
2012-08-31,26,False
2012-09-01,24,False
2012-09-02,14,False
2012-09-03,28,False
2012-09-04,24,False
2012-09-05,35,False
2012-09-06,35,False
2012-09-07,44,False
2012-09-08,27,False
2012-09-09,25,False
2012-09-10,26,False
2012-09-11,15,False
2012-09-12,20,False
2012-09-13,28,False
2012-09-14,19,False
2012-09-15,14,False
2012-09-16,14,False
2012-09-17,16,False
2012-09-18,25,False
2012-09-19,29,False
2012-09-20,50,False
2012-09-21,48,False
2012-09-22,16,False
2012-09-23,14,False
2012-09-24,20,False
2012-09-25,27,False
2012-09-26,41,False
2012-09-27,22,False
2012-09-28,36,False
2012-09-29,14,False
2012-09-30,20,False
2012-10-01,42,False
2012-10-02,41,False
2012-10-03,43,False
2012-10-04,45,False
2012-10-05,25,False
2012-10-06,14,False
2012-10-07,13,False
2012-10-08,33,False
2012-10-09,32,False
2012-10-10,30,False
2012-10-11,36,False
2012-10-12,32,False
2012-10-13,20,False
2012-10-14,26,False
2012-10-15,36,False
2012-10-16,35,False
2012-10-17,100,False
2012-10-18,67,False
2012-10-19,41,False
2012-10-20,29,False
2012-10-21,13,False
2012-10-22,52,False
2012-10-23,64,False
2012-10-24,59,False
2012-10-25,46,False
2012-10-26,35,False
2012-10-27,22,False
2012-10-28,21,False
2012-10-29,39,False
2012-10-30,65,False
2012-10-31,43,False
2012-11-01,43,False
2012-11-02,52,False
2012-11-03,24,False
2012-11-04,28,False
2012-11-05,57,False
2012-11-06,78,False
