date,vote trump,isPartial
2020-04-11,31,False
2020-04-12,32,False
2020-04-13,35,False
2020-04-14,35,False
2020-04-15,27,False
2020-04-16,28,False
2020-04-17,25,False
2020-04-18,23,False
2020-04-19,17,False
2020-04-20,28,False
2020-04-21,22,False
2020-04-22,24,False
2020-04-23,26,False
2020-04-24,26,False
2020-04-25,22,False
2020-04-26,9,False
2020-04-27,17,False
2020-04-28,20,False
2020-04-29,22,False
2020-04-30,28,False
2020-05-01,17,False
2020-05-02,16,False
2020-05-03,27,False
2020-05-04,19,False
2020-05-05,20,False
2020-05-06,20,False
2020-05-07,27,False
2020-05-08,18,False
2020-05-09,29,False
2020-05-10,21,False
2020-05-11,19,False
2020-05-12,15,False
2020-05-13,32,False
2020-05-14,21,False
2020-05-15,28,False
2020-05-16,22,False
2020-05-17,37,False
2020-05-18,15,False
2020-05-19,18,False
2020-05-20,41,False
2020-05-21,41,False
2020-05-22,84,False
2020-05-23,62,False
2020-05-24,49,False
2020-05-25,44,False
2020-05-26,34,False
2020-05-27,44,False
2020-05-28,52,False
2020-05-29,40,False
2020-05-30,29,False
2020-05-31,49,False
2020-06-01,45,False
2020-06-02,100,False
2020-06-03,91,False
2020-06-04,83,False
2020-06-05,66,False
2020-06-06,61,False
2020-06-07,74,False
2020-06-08,70,False
2020-06-09,64,False
2020-06-10,62,False
2020-06-11,46,False
2020-06-12,49,False
2020-06-13,49,False
2020-06-14,53,False
2020-06-15,30,False
2020-06-16,44,False
2020-06-17,35,False
2020-06-18,60,False
2020-06-19,58,False
2020-06-20,47,False
2020-06-21,70,False
2020-06-22,55,False
2020-06-23,56,False
2020-06-24,53,False
2020-06-25,43,False
2020-06-26,50,False
2020-06-27,48,False
2020-06-28,47,False
2020-06-29,42,False
2020-06-30,51,False
2020-07-01,43,False
2020-07-02,57,False
2020-07-03,40,False
2020-07-04,62,False
2020-07-05,60,False
2020-07-06,51,False
2020-07-07,37,False
2020-07-08,42,False
2020-07-09,83,False
2020-07-10,46,False
2020-07-11,71,False
