date,hillary health,isPartial
2016-08-07,9,False
2016-08-08,15,False
2016-08-09,28,False
2016-08-10,5,False
2016-08-11,8,False
2016-08-12,8,False
2016-08-13,12,False
2016-08-14,6,False
2016-08-15,8,False
2016-08-16,13,False
2016-08-17,11,False
2016-08-18,11,False
2016-08-19,22,False
2016-08-20,9,False
2016-08-21,27,False
2016-08-22,37,False
2016-08-23,44,False
2016-08-24,20,False
2016-08-25,12,False
2016-08-26,7,False
2016-08-27,25,False
2016-08-28,46,False
2016-08-29,33,False
2016-08-30,16,False
2016-08-31,9,False
2016-09-01,11,False
2016-09-02,5,False
2016-09-03,11,False
2016-09-04,5,False
2016-09-05,10,False
2016-09-06,14,False
2016-09-07,7,False
2016-09-08,14,False
2016-09-09,12,False
2016-09-10,5,False
2016-09-11,93,False
2016-09-12,100,False
2016-09-13,54,False
2016-09-14,29,False
2016-09-15,22,False
2016-09-16,12,False
2016-09-17,16,False
2016-09-18,11,False
2016-09-19,33,False
2016-09-20,5,False
2016-09-21,7,False
2016-09-22,10,False
2016-09-23,22,False
2016-09-24,5,False
2016-09-25,5,False
2016-09-26,7,False
2016-09-27,12,False
2016-09-28,10,False
2016-09-29,5,False
2016-09-30,0,False
2016-10-01,11,False
2016-10-02,10,False
2016-10-03,5,False
2016-10-04,9,False
2016-10-05,0,False
2016-10-06,5,False
2016-10-07,9,False
2016-10-08,11,False
2016-10-09,0,False
2016-10-10,5,False
2016-10-11,5,False
2016-10-12,5,False
2016-10-13,5,False
2016-10-14,5,False
2016-10-15,6,False
2016-10-16,5,False
2016-10-17,5,False
2016-10-18,0,False
2016-10-19,7,False
2016-10-20,7,False
2016-10-21,10,False
2016-10-22,0,False
2016-10-23,6,False
2016-10-24,10,False
2016-10-25,9,False
2016-10-26,5,False
2016-10-27,5,False
2016-10-28,0,False
2016-10-29,8,False
2016-10-30,5,False
2016-10-31,9,False
2016-11-01,5,False
2016-11-02,5,False
2016-11-03,5,False
2016-11-04,5,False
2016-11-05,0,False
2016-11-06,5,False
2016-11-07,7,False
2016-11-08,31,False
