,score,date
152,1,2012-10-18 17:02:01+00:00
153,1,2012-10-18 17:01:15+00:00
154,1,2012-10-18 16:54:33+00:00
155,1,2012-10-18 16:51:33+00:00
156,1,2012-10-18 16:51:28+00:00
157,1,2012-10-18 16:46:33+00:00
158,2,2012-10-18 16:46:19+00:00
159,1,2012-10-18 16:42:18+00:00
160,2,2012-10-18 16:37:40+00:00
161,1,2012-10-18 16:31:58+00:00
162,1,2012-10-18 16:29:58+00:00
163,1,2012-10-18 16:29:38+00:00
164,1,2012-10-18 16:28:24+00:00
165,1,2012-10-18 16:28:02+00:00
166,1,2012-10-18 16:28:02+00:00
167,1,2012-10-18 16:27:33+00:00
168,1,2012-10-18 16:22:21+00:00
169,1,2012-10-18 16:20:56+00:00
170,0,2012-10-18 16:20:05+00:00
171,1,2012-10-18 16:17:45+00:00
172,1,2012-10-18 16:16:18+00:00
173,1,2012-10-18 16:11:09+00:00
174,1,2012-10-18 16:09:11+00:00
175,1,2012-10-18 16:08:47+00:00
176,1,2012-10-18 16:05:32+00:00
177,1,2012-10-18 16:00:32+00:00
178,1,2012-10-18 15:54:57+00:00
179,1,2012-10-18 15:54:03+00:00
180,1,2012-10-18 15:51:19+00:00
181,1,2012-10-18 15:51:01+00:00
182,0,2012-10-18 15:50:47+00:00
183,1,2012-10-18 15:50:45+00:00
184,1,2012-10-18 15:50:06+00:00
185,0,2012-10-18 15:46:27+00:00
186,1,2012-10-18 15:41:59+00:00
187,1,2012-10-18 15:38:30+00:00
188,1,2012-10-18 15:38:07+00:00
189,1,2012-10-18 15:34:17+00:00
190,2,2012-10-18 15:29:10+00:00
191,1,2012-10-18 15:27:41+00:00
192,0,2012-10-18 15:26:06+00:00
193,2,2012-10-18 15:25:22+00:00
194,1,2012-10-18 15:25:15+00:00
195,1,2012-10-18 15:21:08+00:00
196,1,2012-10-18 15:18:43+00:00
197,1,2012-10-18 15:17:43+00:00
198,0,2012-10-18 15:02:11+00:00
199,1,2012-10-18 15:00:18+00:00
200,0,2012-10-18 14:59:11+00:00
201,1,2012-10-18 14:52:37+00:00
202,2,2012-10-18 14:51:40+00:00
203,0,2012-10-18 14:49:53+00:00
204,0,2012-10-18 14:49:38+00:00
205,1,2012-10-18 14:47:15+00:00
206,0,2012-10-18 14:43:55+00:00
207,1,2012-10-18 14:42:48+00:00
208,1,2012-10-18 14:41:55+00:00
209,0,2012-10-18 14:41:20+00:00
210,1,2012-10-18 14:35:22+00:00
211,1,2012-10-18 14:34:42+00:00
212,1,2012-10-18 14:32:44+00:00
213,1,2012-10-18 14:30:52+00:00
214,0,2012-10-18 14:25:15+00:00
215,0,2012-10-18 14:24:40+00:00
216,1,2012-10-18 14:23:38+00:00
217,0,2012-10-18 14:22:23+00:00
218,2,2012-10-18 14:20:11+00:00
219,1,2012-10-18 14:18:11+00:00
220,1,2012-10-18 14:16:05+00:00
221,1,2012-10-18 14:15:21+00:00
222,1,2012-10-18 14:07:43+00:00
