,Unnamed: 0,date,score
0,0,2016-08-07,4.846153846153847
1,1,2016-08-08,13.923076923076925
2,2,2016-08-09,7.6923076923076925
3,3,2016-08-10,0.15384615384615385
4,4,2016-08-11,2.5384615384615383
5,5,2016-08-12,3.8461538461538463
6,6,2016-08-13,2.0
7,7,2016-08-14,1.0
8,8,2016-08-15,5.0769230769230775
9,9,2016-08-16,11.615384615384615
10,10,2016-08-17,5.0
11,11,2016-08-18,2.6153846153846154
12,12,2016-08-19,3.9230769230769234
13,13,2016-08-20,6.461538461538463
14,14,2016-08-21,20.384615384615387
15,15,2016-08-22,9.76923076923077
16,16,2016-08-23,16.615384615384613
17,17,2016-08-24,25.07692307692308
18,18,2016-08-25,15.384615384615385
19,19,2016-08-26,29.69230769230769
20,20,2016-08-27,5.461538461538462
21,21,2016-08-28,14.461538461538463
22,22,2016-08-29,14.0
23,23,2016-08-30,14.461538461538463
24,24,2016-08-31,41.615384615384606
25,25,2016-09-01,74.69230769230771
26,26,2016-09-02,41.0
27,27,2016-09-03,16.615384615384613
28,28,2016-09-04,5.846153846153847
29,29,2016-09-05,11.461538461538463
30,30,2016-09-06,9.307692307692307
31,31,2016-09-07,5.9230769230769225
32,32,2016-09-08,3.692307692307693
33,33,2016-09-09,2.3076923076923075
34,34,2016-09-10,0.9230769230769232
35,35,2016-09-11,4.076923076923077
36,36,2016-09-12,2.0769230769230766
37,37,2016-09-13,11.692307692307693
38,38,2016-09-14,9.461538461538463
39,39,2016-09-15,5.153846153846153
40,40,2016-09-16,14.230769230769232
41,41,2016-09-17,1.7692307692307692
42,42,2016-09-18,4.076923076923077
43,43,2016-09-19,13.0
44,44,2016-09-20,7.153846153846153
45,45,2016-09-21,4.0
46,46,2016-09-22,4.538461538461538
47,47,2016-09-23,3.3076923076923075
48,48,2016-09-24,0.07692307692307693
49,49,2016-09-25,6.769230769230768
50,50,2016-09-26,8.615384615384615
51,51,2016-09-27,7.3076923076923075
52,52,2016-09-28,6.9230769230769225
53,53,2016-09-29,1.6923076923076923
54,54,2016-09-30,7.3076923076923075
55,55,2016-10-01,7.461538461538463
56,56,2016-10-02,12.153846153846152
57,57,2016-10-03,4.538461538461538
58,58,2016-10-04,7.0
59,59,2016-10-05,6.153846153846153
60,60,2016-10-06,8.076923076923077
61,61,2016-10-07,5.307692307692308
62,62,2016-10-08,0.15384615384615385
63,63,2016-10-09,4.0
64,64,2016-10-10,4.9230769230769225
65,65,2016-10-11,6.461538461538463
66,66,2016-10-12,14.769230769230768
67,67,2016-10-13,8.307692307692307
68,68,2016-10-14,10.153846153846152
69,69,2016-10-15,0.2307692307692308
70,70,2016-10-16,2.4615384615384617
71,71,2016-10-17,4.769230769230768
72,72,2016-10-18,14.692307692307693
73,73,2016-10-19,8.0
74,74,2016-10-20,13.153846153846152
75,75,2016-10-21,6.0769230769230775
76,76,2016-10-22,1.1538461538461535
77,77,2016-10-23,8.692307692307693
78,78,2016-10-24,7.230769230769232
79,79,2016-10-25,11.923076923076925
80,80,2016-10-26,16.53846153846154
81,81,2016-10-27,14.846153846153848
82,82,2016-10-28,8.076923076923077
83,83,2016-10-29,3.3076923076923075
84,84,2016-10-30,2.0
85,85,2016-10-31,8.923076923076922
86,86,2016-11-01,7.769230769230768
87,87,2016-11-02,17.615384615384613
88,88,2016-11-03,20.46153846153846
89,89,2016-11-04,16.923076923076927
90,90,2016-11-05,7.9230769230769225
91,91,2016-11-06,5.6923076923076925
92,92,2016-11-07,13.384615384615385
93,93,2016-11-08,10.076923076923077
