date,final_score
2012-10-18,49.8162490508732
2012-10-19,93.42827004219409
2012-10-20,81.12734864300626
2012-10-21,76.56273199703044
2012-10-22,66.53579676674366
2012-10-23,71.39443312966733
2012-10-24,118.0
2012-10-25,64.36688079942898
2012-10-26,65.0128726287263
2012-10-27,84.04008438818565
2012-10-28,97.38742393509128
2012-10-29,82.4133611691023
2012-10-30,70.05219206680584
2012-10-31,66.4847250509165
2012-11-01,81.76798825256975
2012-11-02,80.3225806451613
2012-11-03,117.66666666666667
2012-11-04,97.45122807017543
