,state,score
0,US,6.840425531914893
1,US-AL,17.76595744680851
2,US-AK,5.5
3,US-AZ,13.680851063829786
4,US-AR,14.372340425531915
5,US-CA,7.297872340425532
6,US-CO,12.797872340425531
7,US-CT,18.53191489361702
8,US-DE,4.6063829787234045
9,US-DC,7.404255319148936
10,US-FL,9.297872340425531
11,US-GA,8.648936170212766
12,US-HI,8.72340425531915
13,US-ID,5.1063829787234045
14,US-IL,10.25531914893617
15,US-IN,14.212765957446809
16,US-IA,14.925531914893616
17,US-KS,13.414893617021276
18,US-KY,17.170212765957448
19,US-LA,10.23404255319149
20,US-ME,9.840425531914894
21,US-MD,11.02127659574468
22,US-MA,8.851063829787234
23,US-MI,8.457446808510639
24,US-MN,11.76595744680851
25,US-MS,9.23404255319149
26,US-MO,17.606382978723403
27,US-MT,3.702127659574468
28,US-NE,9.73404255319149
29,US-NV,11.904255319148936
30,US-NH,8.01063829787234
31,US-NJ,12.872340425531915
32,US-NM,6.095744680851064
33,US-NY,7.223404255319149
34,US-NC,12.51063829787234
35,US-ND,2.8404255319148937
36,US-OH,16.98936170212766
37,US-OK,17.9468085106383
38,US-OR,12.617021276595745
39,US-PA,11.680851063829786
40,US-RI,5.5638297872340425
41,US-SC,15.191489361702128
42,US-SD,3.6382978723404253
43,US-TN,11.851063829787234
44,US-TX,11.095744680851064
45,US-UT,9.606382978723405
46,US-VT,6.595744680851064
47,US-VA,11.957446808510639
48,US-WA,8.01063829787234
49,US-WV,4.9787234042553195
50,US-WI,20.69148936170213
51,US-WY,4.191489361702128
