,1
0,1
1,2
2,2
3,0
4,1
5,1
6,0
7,0
8,1
9,2
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,2
18,2
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,1
27,1
28,1
29,1
30,1
