year,state,state_po,county,FIPS,republican_candidate,democrat_candidate,republican_votes,democrat_votes,county_totalvotes,winning candidate,winning party
2000,Alaska,AK,Aleutians East,,George W. Bush,Al Gore,447,112,610,George W. Bush,republican
2000,Alaska,AK,Aleutians West,,George W. Bush,Al Gore,704,514,1375,George W. Bush,republican
2000,Alaska,AK,Anchorage,,George W. Bush,Al Gore,67883,34714,118884,George W. Bush,republican
2000,Alaska,AK,Bethel,2050,George W. Bush,Al Gore,2025,2232,4810,Al Gore,democrat
2000,Alaska,AK,Bristol Bay,2060,George W. Bush,Al Gore,383,202,701,George W. Bush,republican
2000,Alaska,AK,Denali,2068,George W. Bush,Al Gore,698,306,1263,George W. Bush,republican
2000,Alaska,AK,Dillingham,2070,George W. Bush,Al Gore,891,592,1653,George W. Bush,republican
2000,Alaska,AK,Fairbanks North Star,2090,George W. Bush,Al Gore,25527,10501,41507,George W. Bush,republican
2000,Alaska,AK,Haines,2100,George W. Bush,Al Gore,742,339,1341,George W. Bush,republican
2000,Alaska,AK,Hoonah-Angoon,2105,George W. Bush,Al Gore,594,539,1345,George W. Bush,republican
2000,Alaska,AK,Juneau,2110,George W. Bush,Al Gore,7270,6403,16048,George W. Bush,republican
2000,Alaska,AK,Kenai Peninsula,2122,George W. Bush,Al Gore,15053,4633,23520,George W. Bush,republican
2000,Alaska,AK,Ketchikan Gateway,2130,George W. Bush,Al Gore,4679,1285,6656,George W. Bush,republican
2000,Alaska,AK,Kodiak Island,2150,George W. Bush,Al Gore,3861,1543,6100,George W. Bush,republican
2000,Alaska,AK,Lake and Peninsula,2164,George W. Bush,Al Gore,297,197,540,George W. Bush,republican
2000,Alaska,AK,Matanuska-Susitna,2170,George W. Bush,Al Gore,17976,5379,27445,George W. Bush,republican
2000,Alaska,AK,Nome,2180,George W. Bush,Al Gore,1637,1217,3178,George W. Bush,republican
2000,Alaska,AK,North Slope,2185,George W. Bush,Al Gore,1485,843,2561,George W. Bush,republican
2000,Alaska,AK,Northwest Arctic,2188,George W. Bush,Al Gore,1081,818,2124,George W. Bush,republican
2000,Alaska,AK,Petersburg,2195,George W. Bush,Al Gore,1125,403,1758,George W. Bush,republican
2000,Alaska,AK,Prince of Wales-Hyder,2198,George W. Bush,Al Gore,1785,778,2903,George W. Bush,republican
2000,Alaska,AK,Sitka,2220,George W. Bush,Al Gore,2067,1484,4288,George W. Bush,republican
2000,Alaska,AK,Skagway,2230,George W. Bush,Al Gore,247,156,495,George W. Bush,republican
2000,Alaska,AK,Southeast Fairbanks,2240,George W. Bush,Al Gore,2128,471,2887,George W. Bush,republican
2000,Alaska,AK,Valdez-Cordova,2261,George W. Bush,Al Gore,3209,1090,5070,George W. Bush,republican
2000,Alaska,AK,Kusilvak,,George W. Bush,Al Gore,960,831,1964,George W. Bush,republican
2000,Alaska,AK,Wrangell,2275,George W. Bush,Al Gore,1041,195,1342,George W. Bush,republican
2000,Alaska,AK,Yakutat,2282,George W. Bush,Al Gore,177,118,354,George W. Bush,republican
2000,Alaska,AK,Yukon-Koyukuk,2290,George W. Bush,Al Gore,1357,1138,2839,George W. Bush,republican
2004,Alaska,AK,Aleutians East,,George W. Bush,John Kerry,315,98,422,George W. Bush,republican
2004,Alaska,AK,Aleutians West,,George W. Bush,John Kerry,508,455,996,George W. Bush,republican
2004,Alaska,AK,Anchorage,,George W. Bush,John Kerry,54286,32216,88994,George W. Bush,republican
2004,Alaska,AK,Bethel,2050,George W. Bush,John Kerry,1935,1832,3948,George W. Bush,republican
2004,Alaska,AK,Bristol Bay,2060,George W. Bush,John Kerry,285,122,418,George W. Bush,republican
2004,Alaska,AK,Denali,2068,George W. Bush,John Kerry,467,309,818,George W. Bush,republican
2004,Alaska,AK,Dillingham,2070,George W. Bush,John Kerry,797,521,1363,George W. Bush,republican
2004,Alaska,AK,Fairbanks North Star,2090,George W. Bush,John Kerry,20268,10103,31472,George W. Bush,republican
2004,Alaska,AK,Haines,2100,George W. Bush,John Kerry,561,420,1026,George W. Bush,republican
2004,Alaska,AK,Hoonah-Angoon,2105,George W. Bush,John Kerry,463,494,1011,John Kerry,democrat
2004,Alaska,AK,Juneau,2110,George W. Bush,John Kerry,5515,5784,11685,John Kerry,democrat
2004,Alaska,AK,Kenai Peninsula,2122,George W. Bush,John Kerry,10478,4648,15757,George W. Bush,republican
2004,Alaska,AK,Ketchikan Gateway,2130,George W. Bush,John Kerry,3170,1343,4696,George W. Bush,republican
2004,Alaska,AK,Kodiak Island,2150,George W. Bush,John Kerry,2698,1349,4202,George W. Bush,republican
2004,Alaska,AK,Lake and Peninsula,2164,George W. Bush,John Kerry,224,114,355,George W. Bush,republican
2004,Alaska,AK,Matanuska-Susitna,2170,George W. Bush,John Kerry,17569,6201,24606,George W. Bush,republican
2004,Alaska,AK,Nome,2180,George W. Bush,John Kerry,1489,1171,2814,George W. Bush,republican
2004,Alaska,AK,North Slope,2185,George W. Bush,John Kerry,1171,767,2030,George W. Bush,republican
2004,Alaska,AK,Northwest Arctic,2188,George W. Bush,John Kerry,1123,801,1998,George W. Bush,republican
2004,Alaska,AK,Petersburg,2195,George W. Bush,John Kerry,753,452,1263,George W. Bush,republican
2004,Alaska,AK,Prince of Wales-Hyder,2198,George W. Bush,John Kerry,1182,678,1954,George W. Bush,republican
2004,Alaska,AK,Sitka,2220,George W. Bush,John Kerry,1726,1737,3627,John Kerry,democrat
2004,Alaska,AK,Skagway,2230,George W. Bush,John Kerry,165,207,401,John Kerry,democrat
2004,Alaska,AK,Southeast Fairbanks,2240,George W. Bush,John Kerry,1668,414,2166,George W. Bush,republican
2004,Alaska,AK,Valdez-Cordova,2261,George W. Bush,John Kerry,2339,1152,3644,George W. Bush,republican
2004,Alaska,AK,Kusilvak,,George W. Bush,John Kerry,842,753,1697,George W. Bush,republican
2004,Alaska,AK,Wrangell,2275,George W. Bush,John Kerry,693,164,890,George W. Bush,republican
