year,geo_fips,county,state,avg_wage_salary
2000,2240,Southeast Fairbanks Census Area,AK*,31525
2000,2261,Valdez-Cordova Census Area,AK*,38908
2000,2275,Wrangell City and Borough,AK*,
2000,2280,Wrangell-Petersburg Census Area,AK*,29813
2000,2282,Yakutat City and Borough,AK*,30486
2000,2290,Yukon-Koyukuk Census Area,AK*,28294
2000,2901,Aleutian Islands Division,AK*,
2000,2903,Angoon Division,AK*,
2000,2904,Barrow-North Slope Division,AK*,
2000,2905,Bethel Division,AK*,
2000,2907,Bristol Bay Division,AK*,
2000,2908,Cordova-McCarthy Division,AK*,
2000,2910,Haines Division,AK*,
2000,2912,Kenai-Cook Inlet Division,AK*,
2000,2916,Kuskokwim Division,AK*,
2000,2919,Outer Ketchikan Division,AK*,
2000,2920,Prince of Wales Division,AK*,
2000,2921,Seward Division,AK*,
2000,2922,Sitka Division,AK*,
2000,2923,Skagway-Yakutat Division,AK*,
2000,2924,Southeast Fairbanks Division,AK*,
2000,2925,Upper Yukon Division,AK*,
2000,2926,Valdez-Chitina-Whittier Division,AK*,
2000,2928,Wrangell-Petersburg Division,AK*,
2000,2929,Yukon-Koyukuk Division,AK*,
2000,4000,Arizona,,32840
2000,4001,Apache,AZ,24675
2000,4003,Cochise,AZ,27355
2000,4005,Coconino,AZ,25108
2000,4007,Gila,AZ,25435
2000,4009,Graham,AZ,22168
2000,4011,Greenlee,AZ,36624
2000,4012,La Paz,AZ*,21876
2000,4013,Maricopa,AZ,35503
2000,4015,Mohave,AZ,23834
2000,4017,Navajo,AZ,25348
2000,4019,Pima,AZ,29400
2000,4021,Pinal,AZ,26890
2000,4023,Santa Cruz,AZ,27385
2000,4025,Yavapai,AZ,23959
2000,4027,Yuma,AZ*,23124
2000,5000,Arkansas,,26288
2000,5000,Arkansas,,26288
2000,5003,Ashley,AR,29846
2000,5005,Baxter,AR,22776
2000,5007,Benton,AR,31596
2000,5009,Boone,AR,23883
2000,5011,Bradley,AR,22363
2000,1015,Calhoun,AL,24972
2000,5015,Carroll,AR,19522
2000,5017,Chicot,AR,19724
2000,5019,Clark,AR,20891
2000,1027,Clay,AL,20420
2000,1029,Cleburne,AL,23216
2000,5025,Cleveland,AR,18980
2000,5027,Columbia,AR,24522
2000,5029,Conway,AR,24715
2000,5031,Craighead,AR,25083
2000,5033,Crawford,AR,24846
2000,5035,Crittenden,AR,23698
2000,5037,Cross,AR,22430
2000,1047,Dallas,AL,23120
2000,5041,Desha,AR,23964
2000,5043,Drew,AR,21522
2000,5045,Faulkner,AR,26924
2000,1059,Franklin,AL,21527
2000,5049,Fulton,AR,17897
2000,5051,Garland,AR,23592
2000,5053,Grant,AR,22858
2000,1063,Greene,AL,21796
2000,5057,Hempstead,AR,22105
2000,5059,Hot Spring,AR,23767
2000,5061,Howard,AR,21661
2000,5063,Independence,AR,23782
2000,5065,Izard,AR,20492
2000,1071,Jackson,AL,25833
2000,1073,Jefferson,AL,33759
2000,5071,Johnson,AR,20764
2000,5073,Lafayette,AR,21643
2000,1079,Lawrence,AL,31106
2000,1081,Lee,AL,23830
2000,5079,Lincoln,AR,21913
2000,5081,Little River,AR,33929
2000,5083,Logan,AR,21408
2000,5085,Lonoke,AR,21416
2000,1089,Madison,AL,35337
2000,1093,Marion,AL,23845
2000,5091,Miller,AR,25517
2000,5093,Mississippi,AR,26152
2000,1099,Monroe,AL,28235
2000,1101,Montgomery,AL,29321
2000,5099,Nevada,AR,23387
2000,5101,Newton,AR,16365
2000,5103,Ouachita,AR,23781
2000,1105,Perry,AL,19257
2000,5107,Phillips,AR,21801
2000,1109,Pike,AL,22849
2000,5111,Poinsett,AR,21085
2000,5113,Polk,AR,19570
2000,5115,Pope,AR,26241
2000,5117,Prairie,AR,20604
2000,5119,Pulaski,AR,31419
2000,1111,Randolph,AL,20911
2000,5123,St. Francis,AR,22779
2000,5125,Saline,AR,24463
2000,5127,Scott,AR,18609
2000,5129,Searcy,AR,16499
2000,5131,Sebastian,AR,27201
2000,5133,Sevier,AR,21044
2000,5135,Sharp,AR,17608
2000,5137,Stone,AR,17820
2000,5139,Union,AR,26870
2000,5141,Van Buren,AR,19941
2000,1129,Washington,AL,37436
2000,5145,White,AR,23599
2000,5147,Woodruff,AR,22485
2000,5149,Yell,AR,20000
2000,6000,California,,40869
2000,6001,Alameda,CA,45092
2000,6003,Alpine,CA,18318
2000,6005,Amador,CA,26317
2000,6007,Butte,CA,25283
2000,6009,Calaveras,CA,23632
2000,6011,Colusa,CA,23456
2000,6013,Contra Costa,CA,42447
2000,6015,Del Norte,CA,25116
2000,6017,El Dorado,CA,29628
2000,6019,Fresno,CA,26764
2000,6021,Glenn,CA,24061
2000,6023,Humboldt,CA,25429
2000,6025,Imperial,CA,24908
2000,6027,Inyo,CA,25511
2000,6029,Kern,CA,28784
2000,6031,Kings,CA,27055
2000,6033,Lake,CA,23097
2000,6035,Lassen,CA,28665
2000,6037,Los Angeles,CA,39728
2000,6039,Madera,CA,24572
2000,6041,Marin,CA,42372
2000,6043,Mariposa,CA,25729
2000,6045,Mendocino,CA,24711
2000,6047,Merced,CA,24851
2000,6049,Modoc,CA,22451
2000,6051,Mono,CA,24303
2000,6053,Monterey,CA,30150
2000,6055,Napa,CA,33004
2000,5099,Nevada,AR,23387
2000,6059,Orange,CA,39323
2000,6061,Placer,CA,33852
2000,6063,Plumas,CA,26657
2000,6065,Riverside,CA,29141
2000,6067,Sacramento,CA,37971
2000,6069,San Benito,CA,28366
2000,6071,San Bernardino,CA,30233
2000,6073,San Diego,CA,37111
2000,6075,San Francisco,CA,58246
2000,6077,San Joaquin,CA,29622
2000,6079,San Luis Obispo,CA,28147
2000,6081,San Mateo,CA,67012
2000,6083,Santa Barbara,CA,32565
2000,6085,Santa Clara,CA,75029
2000,4023,Santa Cruz,AZ,27385
2000,6089,Shasta,CA,27112
2000,6091,Sierra,CA,27490
2000,6093,Siskiyou,CA,23355
2000,6095,Solano,CA,32178
2000,6097,Sonoma,CA,35647
2000,6099,Stanislaus,CA,28557
2000,6101,Sutter,CA,24995
2000,6103,Tehama,CA,25078
2000,6105,Trinity,CA,23017
2000,6107,Tulare,CA,23798
2000,6109,Tuolumne,CA,25792
2000,6111,Ventura,CA,36816
2000,6113,Yolo,CA,32710
2000,6115,Yuba,CA,29443
2000,8000,Colorado,,37059
2000,8001,Adams,CO*,33688
2000,8003,Alamosa,CO,22894
2000,8005,Arapahoe,CO,46278
2000,8007,Archuleta,CO,21254
2000,8009,Baca,CO,17374
2000,8011,Bent,CO,26899
2000,8013,Boulder,CO*,44722
2000,8014,Broomfield,CO*,
2000,8015,Chaffee,CO,22156
2000,8017,Cheyenne,CO,24507
2000,8019,Clear Creek,CO,29303
2000,8021,Conejos,CO,20751
2000,8023,Costilla,CO,19690
2000,8025,Crowley,CO,25099
2000,8027,Custer,CO,20900
2000,8029,Delta,CO,22239
2000,8031,Denver,CO,44294
2000,8033,Dolores,CO,18801
2000,8035,Douglas,CO,33202
2000,8037,Eagle,CO,31180
2000,8039,Elbert,CO,25593
2000,8041,El Paso,CO,33384
2000,8043,Fremont,CO,27050
2000,8045,Garfield,CO,29348
2000,8047,Gilpin,CO,30943
2000,8049,Grand,CO,22782
2000,8051,Gunnison,CO,22539
2000,8053,Hinsdale,CO,17040
2000,8055,Huerfano,CO,20704
2000,1071,Jackson,AL,25833
2000,1073,Jefferson,AL,33759
2000,8061,Kiowa,CO,21711
2000,8063,Kit Carson,CO,20858
2000,6033,Lake,CA,23097
2000,8067,La Plata,CO,25503
2000,8069,Larimer,CO,32011
2000,8071,Las Animas,CO,22205
2000,5079,Lincoln,AR,21913
2000,5083,Logan,AR,21408
2000,8077,Mesa,CO,26737
2000,8079,Mineral,CO,18663
2000,8081,Moffat,CO,28665
2000,8083,Montezuma,CO,22096
2000,8085,Montrose,CO,23834
2000,1103,Morgan,AL,28619
2000,8089,Otero,CO,22307
2000,8091,Ouray,CO,21728
2000,8093,Park,CO,24098
2000,5107,Phillips,AR,21801
2000,8097,Pitkin,CO,41180
2000,8099,Prowers,CO,22780
2000,8101,Pueblo,CO,25908
2000,8103,Rio Blanco,CO,25890
2000,8105,Rio Grande,CO,22679
2000,8107,Routt,CO,27757
2000,8109,Saguache,CO,20167
2000,8111,San Juan,CO,19038
2000,8113,San Miguel,CO,27196
2000,8115,Sedgwick,CO,19712
2000,8117,Summit,CO,26487
2000,8119,Teller,CO,24215
2000,1129,Washington,AL,37436
2000,8123,Weld,CO*,29343
2000,4027,Yuma,AZ*,23124
2000,9000,Connecticut,,44508
2000,9001,Fairfield,CT,59655
2000,9003,Hartford,CT,43166
2000,9005,Litchfield,CT,33784
2000,9007,Middlesex,CT,38120
2000,9009,New Haven,CT,37637
2000,9011,New London,CT,35827
2000,9013,Tolland,CT,30935
2000,9015,Windham,CT,30212
2000,0,Delaware,,35817
2000,1,Kent,DE,27605
2000,3,New Castle,DE,39826
2000,5,Sussex,DE,24532
2000,1000,District of Columbia,,51737
2000,1000,District of Columbia,,51737
2000,2000,Florida,,31039
2000,2001,Alachua,FL,26661
2000,2003,Baker,FL,22890
2000,2005,Bay,FL,26436
2000,2007,Bradford,FL,26187
2000,2009,Brevard,FL,32594
2000,2011,Broward,FL,33658
2000,1015,Calhoun,AL,24972
2000,2015,Charlotte,FL,25031
2000,2017,Citrus,FL,25632
2000,1027,Clay,AL,20420
2000,2021,Collier,FL,30275
2000,5027,Columbia,AR,24522
2000,2027,DeSoto,FL,20192
2000,2029,Dixie,FL,22915
2000,2031,Duval,FL,33716
2000,1053,Escambia,AL,24341
2000,2035,Flagler,FL,23766
2000,1059,Franklin,AL,21527
2000,2039,Gadsden,FL,23358
2000,2041,Gilchrist,FL,22064
2000,2043,Glades,FL,19990
2000,2045,Gulf,FL,25580
2000,2047,Hamilton,FL,30406
2000,2049,Hardee,FL,21746
2000,2051,Hendry,FL,21309
2000,2053,Hernando,FL,24815
2000,2055,Highlands,FL,21195
2000,2057,Hillsborough,FL,32276
2000,2059,Holmes,FL,20683
2000,2061,Indian River,FL,27346
2000,1071,Jackson,AL,25833
2000,1073,Jefferson,AL,33759
2000,5073,Lafayette,AR,21643
2000,6033,Lake,CA,23097
2000,1081,Lee,AL,23830
2000,2073,Leon,FL,29749
2000,2075,Levy,FL,21275
2000,2077,Liberty,FL,25993
2000,1089,Madison,AL,35337
2000,2081,Manatee,FL,25543
2000,1093,Marion,AL,23845
2000,2085,Martin,FL,27916
2000,2086,Miami-Dade,FL,33678
2000,1099,Monroe,AL,28235
2000,2089,Nassau,FL,29589
2000,2091,Okaloosa,FL,27573
2000,2093,Okeechobee,FL,22918
2000,6059,Orange,CA,39323
2000,2097,Osceola,FL,24958
2000,2099,Palm Beach,FL,35251
2000,2101,Pasco,FL,24390
2000,2103,Pinellas,FL,31763
2000,5113,Polk,AR,19570
2000,2107,Putnam,FL,25499
2000,2109,St. Johns,FL,28402
2000,2111,St. Lucie,FL,26322
2000,2113,Santa Rosa,FL,25599
2000,2115,Sarasota,FL,28870
2000,2117,Seminole,FL,31470
2000,1119,Sumter,AL,21755
2000,2121,Suwannee,FL,21371
2000,2123,Taylor,FL,27992
2000,5139,Union,AR,26870
2000,2127,Volusia,FL,25629
2000,2129,Wakulla,FL,28107
2000,2131,Walton,FL,23050
2000,1129,Washington,AL,37436
2000,3000,Georgia,,34316
2000,3001,Appling,GA,30569
2000,3003,Atkinson,GA,21660
2000,3005,Bacon,GA,22506
2000,2003,Baker,FL,22890
2000,1003,Baldwin,AL,22593
2000,3011,Banks,GA,19900
2000,3013,Barrow,GA,26854
2000,3015,Bartow,GA,29207
2000,3017,Ben Hill,GA,25288
2000,3019,Berrien,GA,24822
2000,1007,Bibb,AL,22165
2000,3023,Bleckley,GA,22723
2000,3025,Brantley,GA,21084
2000,3027,Brooks,GA,20510
2000,3029,Bryan,GA,21856
2000,3031,Bulloch,GA,23327
2000,3033,Burke,GA,28678
2000,3035,Butts,GA,24595
2000,1015,Calhoun,AL,24972
2000,3039,Camden,GA,29488
2000,3043,Candler,GA,20584
2000,5015,Carroll,AR,19522
2000,3047,Catoosa,GA,24998
2000,3049,Charlton,GA,21374
2000,3051,Chatham,GA,30131
2000,3053,Chattahoochee,GA,29089
2000,3055,Chattooga,GA,23918
2000,1019,Cherokee,AL,21053
2000,1025,Clarke,AL,23669
2000,1027,Clay,AL,20420
2000,3063,Clayton,GA,37221
2000,3065,Clinch,GA,23400
2000,3067,Cobb,GA,39389
2000,1031,Coffee,AL,21219
2000,3071,Colquitt,GA,21637
2000,5027,Columbia,AR,24522
2000,3075,Cook,GA,20311
2000,3077,Coweta,GA,27327
2000,5033,Crawford,AR,24846
2000,3081,Crisp,GA,22653
2000,3083,Dade,GA,21560
2000,3085,Dawson,GA,23877
2000,3087,Decatur,GA,22870
2000,1049,DeKalb,AL,23285
2000,3091,Dodge,GA,21358
2000,3093,Dooly,GA,22879
2000,3095,Dougherty,GA,28526
2000,8035,Douglas,CO,33202
2000,3099,Early,GA,29936
2000,3101,Echols,GA,16926
2000,3103,Effingham,GA,27310
2000,8039,Elbert,CO,25593
2000,3107,Emanuel,GA,21103
2000,3109,Evans,GA,20385
2000,3111,Fannin,GA,21453
2000,1057,Fayette,AL,22421
2000,3115,Floyd,GA,28570
2000,3117,Forsyth,GA,34021
2000,1059,Franklin,AL,21527
2000,5049,Fulton,AR,17897
2000,3123,Gilmer,GA,21401
2000,3125,Glascock,GA,24207
2000,3127,Glynn,GA,26454
2000,3129,Gordon,GA,26519
2000,3131,Grady,GA,21118
2000,1063,Greene,AL,21796
2000,3135,Gwinnett,GA,39622
2000,3137,Habersham,GA,24732
2000,3139,Hall,GA,29165
2000,3141,Hancock,GA,20427
2000,3143,Haralson,GA,25441
2000,3145,Harris,GA,19087
2000,3147,Hart,GA,25991
2000,3149,Heard,GA,30867
2000,1067,Henry,AL,22897
2000,1069,Houston,AL,26355
2000,3155,Irwin,GA,21441
2000,1071,Jackson,AL,25833
2000,3159,Jasper,GA,24508
2000,3161,Jeff Davis,GA,23637
2000,1073,Jefferson,AL,33759
2000,3165,Jenkins,GA,20763
2000,5071,Johnson,AR,20764
2000,3169,Jones,GA,23262
2000,1075,Lamar,AL,24526
2000,3173,Lanier,GA,20020
2000,3175,Laurens,GA,25196
2000,1081,Lee,AL,23830
2000,2077,Liberty,FL,25993
2000,5079,Lincoln,AR,21913
2000,3183,Long,GA,18941
2000,1085,Lowndes,AL,28285
2000,3187,Lumpkin,GA,24844
2000,3189,McDuffie,GA,23772
2000,3191,McIntosh,GA,18874
2000,1087,Macon,AL,20695
2000,1089,Madison,AL,35337
2000,1093,Marion,AL,23845
2000,3199,Meriwether,GA,23628
2000,5091,Miller,AR,25517
2000,3205,Mitchell,GA,19830
2000,1099,Monroe,AL,28235
2000,1101,Montgomery,AL,29321
2000,1103,Morgan,AL,28619
2000,3213,Murray,GA,25273
2000,3215,Muscogee,GA,28433
2000,5101,Newton,AR,16365
2000,3219,Oconee,GA,23690
2000,3221,Oglethorpe,GA,21678
2000,3223,Paulding,GA,25375
2000,3225,Peach,GA,26811
2000,1107,Pickens,AL,21914
2000,3229,Pierce,GA,21584
2000,1109,Pike,AL,22849
2000,5113,Polk,AR,19570
2000,5119,Pulaski,AR,31419
2000,2107,Putnam,FL,25499
2000,3239,Quitman,GA,21541
2000,3241,Rabun,GA,22177
2000,1111,Randolph,AL,20911
2000,3245,Richmond,GA,29178
2000,3247,Rockdale,GA,30490
2000,3249,Schley,GA,23271
2000,3251,Screven,GA,22842
2000,2117,Seminole,FL,31470
2000,3255,Spalding,GA,25420
2000,3257,Stephens,GA,25900
2000,3259,Stewart,GA,19697
2000,1119,Sumter,AL,21755
2000,3263,Talbot,GA,22597
2000,3265,Taliaferro,GA,17252
2000,3267,Tattnall,GA,20809
2000,2123,Taylor,FL,27992
2000,3271,Telfair,GA,20707
2000,3273,Terrell,GA,21265
2000,3275,Thomas,GA,25913
2000,3277,Tift,GA,24783
2000,3279,Toombs,GA,22014
2000,3281,Towns,GA,20511
2000,3283,Treutlen,GA,18716
2000,3285,Troup,GA,28742
2000,3287,Turner,GA,20791
2000,3289,Twiggs,GA,35278
2000,5139,Union,AR,26870
2000,3293,Upson,GA,23996
2000,1127,Walker,AL,22903
2000,2131,Walton,FL,23050
2000,3299,Ware,GA,24454
2000,3301,Warren,GA,25427
2000,1129,Washington,AL,37436
2000,3305,Wayne,GA,26003
2000,3307,Webster,GA,22910
2000,3309,Wheeler,GA,21138
2000,5145,White,AR,23599
2000,3313,Whitfield,GA,29721
2000,1131,Wilcox,AL,30057
2000,3317,Wilkes,GA,22629
2000,3319,Wilkinson,GA,32658
2000,3321,Worth,GA,21144
2000,5000,Hawaii,,30718
2000,5000,Hawaii,,30718
2000,5003,Honolulu,HI,31827
2000,5007,Kauai,HI,26655
2000,5901,Maui + Kalawao,HI*,28254
2000,6000,Idaho,,27557
2000,6001,Ada,ID,34191
2000,8001,Adams,CO*,33688
2000,6005,Bannock,ID,24512
2000,6007,Bear Lake,ID,19043
2000,6009,Benewah,ID,24977
2000,6011,Bingham,ID,21982
2000,6013,Blaine,ID,31324
2000,6015,Boise,ID,20384
2000,6017,Bonner,ID,23150
2000,6019,Bonneville,ID,27409
2000,6021,Boundary,ID,23212
2000,6007,Butte,CA,25283
2000,6025,Camas,ID,18045
2000,6027,Canyon,ID,25196
2000,6029,Caribou,ID,31475
2000,6031,Cassia,ID,21473
2000,5019,Clark,AR,20891
2000,6035,Clearwater,ID,25122
2000,8027,Custer,CO,20900
2000,1051,Elmore,AL,22910
2000,1059,Franklin,AL,21527
2000,6043,Fremont (includes Yellowstone Park),ID,22167
2000,6045,Gem,ID,22790
2000,6047,Gooding,ID,20644
2000,6000,Idaho,,27557
2000,1073,Jefferson,AL,33759
2000,6053,Jerome,ID,22055
2000,6055,Kootenai,ID,24422
2000,6057,Latah,ID,22556
2000,6059,Lemhi,ID,21017
2000,6061,Lewis,ID,19077
2000,5079,Lincoln,AR,21913
2000,1089,Madison,AL,35337
2000,6067,Minidoka,ID,22475
2000,6069,Nez Perce,ID,27728
2000,6071,Oneida,ID,17519
2000,6073,Owyhee,ID,19759
2000,6075,Payette,ID,22524
2000,6077,Power,ID,28115
2000,6079,Shoshone,ID,24429
2000,6081,Teton,ID,19687
2000,6083,Twin Falls,ID,22365
2000,6085,Valley,ID,21822
2000,1129,Washington,AL,37436
2000,7000,Illinois,,37949
2000,8001,Adams,CO*,33688
2000,7003,Alexander,IL,26469
2000,7005,Bond,IL,25396
2000,5009,Boone,AR,23883
2000,7009,Brown,IL,27978
2000,7011,Bureau,IL,26346
2000,1015,Calhoun,AL,24972
2000,5015,Carroll,AR,19522
2000,7017,Cass,IL,23662
2000,7019,Champaign,IL,28092
2000,7021,Christian,IL,24078
2000,5019,Clark,AR,20891
2000,1027,Clay,AL,20420
2000,7027,Clinton,IL,22940
2000,7029,Coles,IL,25190
2000,3075,Cook,GA,20311
2000,5033,Crawford,AR,24846
2000,7035,Cumberland,IL,19790
2000,1049,DeKalb,AL,23285
2000,7039,De Witt,IL,32834
2000,8035,Douglas,CO,33202
2000,7043,DuPage,IL,43295
2000,7045,Edgar,IL,23884
2000,7047,Edwards,IL,23776
2000,3103,Effingham,GA,27310
2000,1057,Fayette,AL,22421
2000,7053,Ford,IL,23554
2000,1059,Franklin,AL,21527
2000,5049,Fulton,AR,17897
2000,7059,Gallatin,IL,26240
2000,1063,Greene,AL,21796
2000,7063,Grundy,IL,38679
2000,2047,Hamilton,FL,30406
2000,3141,Hancock,GA,20427
2000,7069,Hardin,IL,21104
2000,7071,Henderson,IL,18630
2000,1067,Henry,AL,22897
2000,7075,Iroquois,IL,22123
2000,1071,Jackson,AL,25833
2000,3159,Jasper,GA,24508
2000,1073,Jefferson,AL,33759
2000,7083,Jersey,IL,21733
2000,7085,Jo Daviess,IL,22748
2000,5071,Johnson,AR,20764
2000,7089,Kane,IL,32623
2000,7091,Kankakee,IL,28515
2000,7093,Kendall,IL,32086
2000,7095,Knox,IL,25804
2000,6033,Lake,CA,23097
2000,7099,LaSalle,IL,28388
2000,1079,Lawrence,AL,31106
2000,1081,Lee,AL,23830
2000,7105,Livingston,IL,29369
2000,5083,Logan,AR,21408
2000,7109,McDonough,IL,23148
2000,7111,McHenry,IL,32229
2000,7113,McLean,IL,34114
2000,1087,Macon,AL,20695
2000,7117,Macoupin,IL,23353
2000,1089,Madison,AL,35337
2000,1093,Marion,AL,23845
2000,1095,Marshall,AL,23640
2000,7125,Mason,IL,23007
2000,7127,Massac,IL,27678
2000,7129,Menard,IL,21497
2000,7131,Mercer,IL,21187
2000,1099,Monroe,AL,28235
2000,1101,Montgomery,AL,29321
2000,1103,Morgan,AL,28619
2000,7139,Moultrie,IL,23296
2000,7141,Ogle,IL,29771
2000,7143,Peoria,IL,31699
2000,1105,Perry,AL,19257
2000,7147,Piatt,IL,23589
2000,1109,Pike,AL,22849
2000,5115,Pope,AR,26241
2000,5119,Pulaski,AR,31419
2000,2107,Putnam,FL,25499
2000,1111,Randolph,AL,20911
2000,7159,Richland,IL,22994
2000,7161,Rock Island,IL,33859
2000,1115,St. Clair,AL,23504
2000,5125,Saline,AR,24463
2000,7167,Sangamon,IL,32446
2000,7169,Schuyler,IL,22871
2000,5127,Scott,AR,18609
2000,1117,Shelby,AL,31576
2000,7175,Stark,IL,21577
2000,7177,Stephenson,IL,29692
2000,7179,Tazewell,IL,35197
2000,5139,Union,AR,26870
2000,7183,Vermilion,IL,27560
2000,7185,Wabash,IL,24747
2000,3301,Warren,GA,25427
2000,1129,Washington,AL,37436
2000,3305,Wayne,GA,26003
2000,5145,White,AR,23599
2000,7195,Whiteside,IL,26771
2000,7197,Will,IL,32454
2000,7199,Williamson,IL,24944
2000,7201,Winnebago,IL,31847
2000,7203,Woodford,IL,23936
2000,8000,Indiana,,30967
2000,8001,Adams,CO*,33688
2000,8003,Allen,IN,32480
2000,8005,Bartholomew,IN,35154
2000,5007,Benton,AR,31596
2000,8009,Blackford,IN,24438
2000,5009,Boone,AR,23883
2000,7009,Brown,IL,27978
2000,5015,Carroll,AR,19522
2000,7017,Cass,IL,23662
2000,5019,Clark,AR,20891
2000,1027,Clay,AL,20420
2000,7027,Clinton,IL,22940
2000,5033,Crawford,AR,24846
2000,8027,Daviess,IN,21926
2000,8029,Dearborn,IN,27436
2000,3087,Decatur,GA,22870
2000,1049,DeKalb,AL,23285
2000,0,Delaware,,35817
2000,8037,Dubois,IN,27851
2000,8039,Elkhart,IN,30703
2000,1057,Fayette,AL,22421
2000,3115,Floyd,GA,28570
2000,8045,Fountain,IN,24650
2000,1059,Franklin,AL,21527
2000,5049,Fulton,AR,17897
2000,8051,Gibson,IN,29633
2000,5053,Grant,AR,22858
2000,1063,Greene,AL,21796
2000,2047,Hamilton,FL,30406
2000,3141,Hancock,GA,20427
2000,8061,Harrison,IN,23796
2000,8063,Hendricks,IN,28030
2000,1067,Henry,AL,22897
2000,5061,Howard,AR,21661
2000,8069,Huntington,IN,24832
2000,1071,Jackson,AL,25833
2000,3159,Jasper,GA,24508
2000,8075,Jay,IN,24581
2000,1073,Jefferson,AL,33759
2000,8079,Jennings,IN,25175
2000,5071,Johnson,AR,20764
2000,7095,Knox,IL,25804
2000,8085,Kosciusko,IN,31510
2000,8087,Lagrange,IN,28133
2000,6033,Lake,CA,23097
2000,8091,LaPorte,IN,27672
2000,1079,Lawrence,AL,31106
2000,1089,Madison,AL,35337
2000,1093,Marion,AL,23845
2000,1095,Marshall,AL,23640
2000,2085,Martin,FL,27916
2000,8103,Miami,IN,26185
2000,1099,Monroe,AL,28235
2000,1101,Montgomery,AL,29321
2000,1103,Morgan,AL,28619
2000,5101,Newton,AR,16365
2000,8113,Noble,IN,27693
2000,8115,Ohio,IN,26833
2000,6059,Orange,CA,39323
2000,8119,Owen,IN,22486
2000,8121,Parke,IN,20853
2000,1105,Perry,AL,19257
2000,1109,Pike,AL,22849
2000,8127,Porter,IN,31060
