year,geo_fips,county,state,avg_wage_salary
2000,1000,Alabama,,28494
2000,1001,Autauga,AL,24447
2000,1003,Baldwin,AL,22593
2000,1005,Barbour,AL,22749
2000,1007,Bibb,AL,22165
2000,1009,Blount,AL,21913
2000,1011,Bullock,AL,20004
2000,1013,Butler,AL,21146
2000,1015,Calhoun,AL,24972
2000,1017,Chambers,AL,24552
2000,1019,Cherokee,AL,21053
2000,1021,Chilton,AL,21533
2000,1023,Choctaw,AL,34234
2000,1025,Clarke,AL,23669
2000,1027,Clay,AL,20420
2000,1029,Cleburne,AL,23216
2000,1031,Coffee,AL,21219
2000,1033,Colbert,AL,27995
2000,1035,Conecuh,AL,24323
2000,1037,Coosa,AL,25211
2000,1039,Covington,AL,22659
2000,1041,Crenshaw,AL,22477
2000,1043,Cullman,AL,24402
2000,1045,Dale,AL,31071
2000,1047,Dallas,AL,23120
2000,1049,DeKalb,AL,23285
2000,1051,Elmore,AL,22910
2000,1053,Escambia,AL,24341
2000,1055,Etowah,AL,24933
2000,1057,Fayette,AL,22421
2000,1059,Franklin,AL,21527
2000,1061,Geneva,AL,19788
2000,1063,Greene,AL,21796
2000,1065,Hale,AL,20626
2000,1067,Henry,AL,22897
2000,1069,Houston,AL,26355
2000,1071,Jackson,AL,25833
2000,1073,Jefferson,AL,33759
2000,1075,Lamar,AL,24526
2000,1077,Lauderdale,AL,22615
2000,1079,Lawrence,AL,31106
2000,1081,Lee,AL,23830
2000,1083,Limestone,AL,33046
2000,1085,Lowndes,AL,28285
2000,1087,Macon,AL,20695
2000,1089,Madison,AL,35337
2000,1091,Marengo,AL,24242
2000,1093,Marion,AL,23845
2000,1095,Marshall,AL,23640
2000,1097,Mobile,AL,28288
2000,1099,Monroe,AL,28235
2000,1101,Montgomery,AL,29321
2000,1103,Morgan,AL,28619
2000,1105,Perry,AL,19257
2000,1107,Pickens,AL,21914
2000,1109,Pike,AL,22849
2000,1111,Randolph,AL,20911
2000,1113,Russell,AL,24670
2000,1115,St. Clair,AL,23504
2000,1117,Shelby,AL,31576
2000,1119,Sumter,AL,21755
2000,1121,Talladega,AL,25878
2000,1123,Tallapoosa,AL,23519
2000,1125,Tuscaloosa,AL,28282
2000,1127,Walker,AL,22903
2000,1129,Washington,AL,37436
2000,1131,Wilcox,AL,30057
2000,1133,Winston,AL,21738
2000,2000,Alaska,,36027
2000,2010,Aleutian Islands Census Area,AK*,
2000,2013,Aleutians East Borough,AK*,26380
2000,2016,Aleutians West Census Area,AK*,33426
2000,2020,Anchorage Municipality,AK,37666
2000,2050,Bethel Census Area,AK*,26703
2000,2060,Bristol Bay Borough,AK,33443
2000,2068,Denali Borough,AK*,36108
2000,2070,Dillingham Census Area,AK*,30566
2000,2090,Fairbanks North Star Borough,AK,33735
2000,2100,Haines Borough,AK,28479
2000,2105,Hoonah-Angoon Census Area,AK*,
2000,2110,Juneau City and Borough,AK,35031
2000,2122,Kenai Peninsula Borough,AK,35133
2000,2130,Ketchikan Gateway Borough,AK*,33790
2000,2150,Kodiak Island Borough,AK,32059
2000,2158,Kusilvak Census Area,AK*,20462
2000,2164,Lake and Peninsula Borough,AK*,28221
2000,2170,Matanuska-Susitna Borough,AK,28183
2000,2180,Nome Census Area,AK*,29791
2000,2185,North Slope Borough,AK,68282
2000,2188,Northwest Arctic Borough,AK,41312
2000,2195,Petersburg Borough,AK*,
2000,2198,Prince of Wales-Hyder Census Area,AK*,
2000,2201,Prince of Wales-Outer Ketchikan Census Area,AK*,29851
2000,2220,Sitka City and Borough,AK,30839
2000,2230,Skagway Municipality,AK*,
2000,2231,Skagway-Yakutat-Angoon Census Area,AK*,
2000,2232,Skagway-Hoonah-Angoon Census Area,AK*,29182
