,Unnamed: 0,ID,YEAR_FIPS,YEAR,STATE_FIPS,COUNTY_FIPS,STATE,COUNTY,REP_CANDIDATE,DEM_CANDIDATE,REP_VOTES,DEM_VOTES,COUNTY_TOTALVOTES,WINNING_CANDIDATE,WINNING_PARTY,WINNING_PARTY_BINARY,HOUSE_WINNING_BINARY,SENATE_WINNING_BINARY,UNEMPLOYMENT_RATE,AVG_WAGE_SALARY,AA_FEMALE,AA_MALE,BA_FEMALE,BA_MALE,H_FEMALE,H_MALE,IA_FEMALE,IA_MALE,NA_FEMALE,NA_MALE,TOT_FEMALE,TOT_MALE,TOT_POP,WA_FEMALE,WA_MALE,TOT_POP_LESS19,TOT_MALE_LESS19,TOT_FEMALE_LESS19,TOT_POP_20to39,TOT_MALE_20to39,TOT_FEMALE_20to39,TOT_POP_40to59,TOT_MALE_40to59,TOT_FEMALE_40to59,TOT_POP_Above60,TOT_MALE_Above60,TOT_FEMALE_Above60,AA_FEMALE%,AA_MALE%,BA_FEMALE%,BA_MALE%,H_FEMALE%,H_MALE%,IA_FEMALE%,IA_MALE%,NA_FEMALE%,NA_MALE%,WA_FEMALE%,WA_MALE%,TOT_FEMALE%,TOT_MALE%,TOT_POP_LESS19%,TOT_POP_20to39%,TOT_POP_40to59%,TOT_POP_Above60%
10,10,642,20201021,2020,1,21,Alabama,Chilton County,,,,,,,,0,1.0,-1.0,5.5,34429,128,87,2363,2216,1550,1950,121,129,29,48,22485,21668,44153,19571,18888,11470,5751,5719,10799,5416,5383,11587,5779,5808,10297,4722,5575,0.00289901,0.001970421,0.053518447000000004,0.050189115,0.035105202,0.044164609,0.002740471,0.002921659,0.0006568069999999999,0.001087129,0.443254139,0.427785201,0.509251919,0.490748081,0.259778497,0.24458134199999998,0.26242837399999996,0.233211786
11,11,643,20201023,2020,1,23,Alabama,Choctaw County,,,,,,,,0,1.0,-1.0,8.5,137406,16,7,2937,2418,68,66,10,14,0,0,6771,6070,12841,3756,3587,2813,1453,1360,2691,1276,1415,3425,1611,1814,3912,1730,2182,0.001246009,0.000545129,0.228720505,0.188303092,0.005295538000000001,0.005139787,0.000778756,0.001090258,0.0,0.0,0.292500584,0.279339615,0.527295382,0.47270461799999997,0.21906393600000001,0.20956311800000002,0.266723775,0.304649171
12,12,644,20201025,2020,1,25,Alabama,Clarke County,,,,,,,,0,1.0,-1.0,10.8,187260,58,46,5749,4925,154,172,73,53,1,4,12592,11328,23920,6590,6191,5749,2894,2855,5468,2633,2835,6290,2941,3349,6413,2860,3553,0.002424749,0.001923077,0.240342809,0.20589464899999999,0.006438126999999999,0.007190635,0.003051839,0.002215719,4.18e-05,0.00016722400000000002,0.275501672,0.25882107,0.526421405,0.473578595,0.240342809,0.22859531800000002,0.26295986600000004,0.268102007
13,13,645,20201027,2020,1,27,Alabama,Clay County,,,,,,,,0,1.0,-1.0,5.9,583164,16,16,976,892,183,217,43,29,0,0,6783,6492,13275,5615,5431,2984,1566,1418,2998,1467,1531,3595,1771,1824,3698,1688,2010,0.001205273,0.001205273,0.073521657,0.067193974,0.013785311000000001,0.016346516000000002,0.003239171,0.002184557,0.0,0.0,0.422975518,0.40911487799999996,0.5109604520000001,0.489039548,0.22478342699999998,0.22583804100000002,0.270809793,0.278568738
14,14,646,20201029,2020,1,29,Alabama,Cleburne County,,,,,,,,0,1.0,-1.0,6.0,81918,23,10,240,201,167,205,40,34,1,10,7566,7421,14987,7164,7070,3734,1966,1768,3352,1678,1674,4043,2029,2014,3858,1748,2110,0.001534663,0.000667245,0.016013878999999998,0.013411623000000001,0.011142991000000001,0.013678521,0.00266898,0.002268633,6.670000000000001e-05,0.000667245,0.478014279,0.47174217700000004,0.504837526,0.49516247399999996,0.249149263,0.223660506,0.26976713199999997,0.2574231
15,15,647,20201031,2020,1,31,Alabama,Coffee County,,,,,,,,0,1.0,-1.0,5.8,99573,549,300,4803,4389,1834,2101,368,364,77,129,26388,25521,51909,19839,19529,13433,6930,6503,12898,6475,6423,13558,6755,6803,12020,5361,6659,0.010576201,0.005779345,0.09252730699999999,0.08455181199999999,0.03533106,0.040474677,0.007089329,0.007012271,0.001483365,0.0024851179999999997,0.38218806,0.37621607,0.508351153,0.49164884700000006,0.258779788,0.24847329,0.261187848,0.231559075
16,16,648,20201033,2020,1,33,Alabama,Colbert County,,,,,,,,0,1.0,-1.0,6.9,42344,188,135,4783,4092,673,792,175,188,20,21,28503,26259,54762,22812,21326,12566,6337,6229,13235,6513,6722,14174,6798,7376,14787,6611,8176,0.003433038,0.002465213,0.087341587,0.074723348,0.012289544,0.014462583999999999,0.0031956470000000002,0.003433038,0.000365217,0.00038347800000000003,0.41656623200000004,0.38943062700000003,0.52048866,0.47951134,0.229465688,0.24168218800000002,0.258829115,0.270023009
17,17,649,20201035,2020,1,35,Alabama,Conecuh County,,,,,,,,0,1.0,-1.0,8.4,34304,16,10,3081,2599,123,141,27,36,2,2,6396,5881,12277,3187,3152,2801,1391,1410,2670,1301,1369,3089,1462,1627,3717,1727,1990,0.00130325,0.0008145310000000001,0.250957074,0.21169666899999998,0.010018734,0.01148489,0.002199234,0.0029323120000000003,0.00016290600000000002,0.00016290600000000002,0.259591105,0.256740246,0.520974179,0.479025821,0.2281502,0.21747984,0.251608699,0.302761261
18,18,650,20201037,2020,1,37,Alabama,Coosa County,,,,,,,,0,1.0,-1.0,6.0,35915,11,4,1697,1612,122,148,24,40,11,7,5316,5399,10715,3496,3671,1951,1023,928,2193,1145,1048,3129,1539,1590,3442,1692,1750,0.001026598,0.00037330800000000004,0.15837610800000002,0.150443304,0.011385908,0.013812413,0.002239851,0.0037330840000000002,0.001026598,0.00065329,0.326271582,0.342603826,0.496126925,0.503873075,0.182081195,0.20466635600000002,0.292020532,0.321231918
19,19,651,20201039,2020,1,39,Alabama,Covington County,,,,,,,,0,1.0,-1.0,6.7,67814,88,84,2517,2147,315,332,120,136,2,2,19090,17896,36986,16049,15220,8835,4521,4314,8281,4074,4207,9319,4574,4745,10551,4727,5824,0.0023792789999999998,0.00227113,0.06805277700000001,0.058048992,0.008516736,0.008976369,0.0032444709999999996,0.003677067,5.41e-05,5.41e-05,0.43392094299999995,0.411507057,0.516141243,0.48385875700000003,0.238874169,0.223895528,0.251960201,0.28527010199999997
20,20,652,20201041,2020,1,41,Alabama,Crenshaw County,,,,,,,,0,1.0,-1.0,5.8,35031,73,82,1745,1499,148,172,48,39,2,4,7150,6674,13824,5154,4908,3446,1775,1671,3206,1546,1660,3561,1735,1826,3611,1618,1993,0.005280671,0.005931713000000001,0.126229745,0.108434606,0.010706018999999999,0.01244213,0.003472222,0.002821181,0.000144676,0.000289352,0.37282986100000004,0.355034722,0.517216435,0.482783565,0.24927662,0.231915509,0.25759548600000004,0.26121238399999996
21,21,653,20201043,2020,1,43,Alabama,Cullman County,,,,,,,,0,1.0,-1.0,5.0,36763,345,216,502,614,1809,1890,271,268,36,36,42197,41245,83442,40472,39513,20532,10478,10054,20315,10303,10012,21569,10831,10738,21026,9633,11393,0.004134608,0.002588624,0.006016155,0.007358405,0.02167973,0.022650464,0.003247765,0.003211812,0.00043143699999999996,0.00043143699999999996,0.48503151899999997,0.473538506,0.505704561,0.494295439,0.246063134,0.243462525,0.258490928,0.25198341399999996
22,22,654,20201045,2020,1,45,Alabama,Dale County,,,,,,,,0,1.0,-1.0,5.8,56797,452,243,5531,4731,1546,1704,168,224,62,42,24933,24023,48956,18017,18102,12304,6305,5999,13325,6823,6502,11910,5727,6183,11417,5168,6249,0.00923278,0.0049636409999999995,0.112979002,0.096637797,0.031579377,0.034806765,0.003431653,0.004575537,0.0012664430000000001,0.0008579130000000001,0.36802434799999995,0.369760601,0.50929406,0.49070594,0.251327723,0.272183185,0.24327968,0.233209413
23,23,655,20201047,2020,1,47,Alabama,Dallas County,,,,,,,,0,1.0,-1.0,9.2,177875,97,126,14768,12226,188,238,38,73,6,11,20625,17685,38310,5530,5100,10112,5102,5010,9051,4167,4884,9413,4203,5210,9734,4213,5521,0.002531976,0.003288958,0.38548681799999995,0.319133386,0.004907335,0.006212476999999999,0.0009919080000000001,0.001905508,0.000156617,0.000287131,0.144348734,0.133124511,0.538371182,0.461628818,0.263951971,0.236256852,0.245706082,0.254085095
