Start Date,End Date,Approving,Disapproving,Unsure/NoData,President
41194,41196,48,47,5,Barack Obama
41192,41194,48,46,6,Barack Obama
41191,41193,50,44,6,Barack Obama
41190,41192,52,43,5,Barack Obama
41189,41191,53,42,5,Barack Obama
41188,41190,53,42,5,Barack Obama
41187,41189,51,44,5,Barack Obama
41186,41188,48,46,6,Barack Obama
41185,41187,50,45,5,Barack Obama
41184,41186,52,43,5,Barack Obama
41183,41185,54,42,4,Barack Obama
41182,41184,50,44,6,Barack Obama
41181,41183,48,45,7,Barack Obama
41180,41182,47,46,7,Barack Obama
41179,41181,46,46,8,Barack Obama
41178,41180,48,47,5,Barack Obama
41177,41179,50,45,5,Barack Obama
41176,41178,50,44,6,Barack Obama
41175,41177,51,43,6,Barack Obama
41174,41176,50,43,7,Barack Obama
41173,41175,51,42,7,Barack Obama
41172,41174,51,43,6,Barack Obama
41171,41173,47,46,7,Barack Obama
41170,41172,47,48,5,Barack Obama
41169,41171,46,48,6,Barack Obama
41168,41170,48,46,6,Barack Obama
41167,41169,49,45,6,Barack Obama
41166,41168,50,44,6,Barack Obama
41165,41167,50,44,6,Barack Obama
41164,41166,49,45,6,Barack Obama
41163,41165,49,43,8,Barack Obama
41162,41164,49,42,9,Barack Obama
41161,41163,51,42,7,Barack Obama
41160,41162,50,43,7,Barack Obama
41159,41161,50,44,6,Barack Obama
41158,41160,50,44,6,Barack Obama
41157,41159,52,42,6,Barack Obama
41156,41158,52,43,5,Barack Obama
41155,41157,49,45,6,Barack Obama
41154,41156,47,47,6,Barack Obama
41153,41155,45,48,7,Barack Obama
41152,41154,45,48,7,Barack Obama
41151,41153,43,48,9,Barack Obama
41150,41152,45,46,9,Barack Obama
41149,41151,45,46,9,Barack Obama
41148,41150,44,47,9,Barack Obama
41147,41149,43,47,10,Barack Obama
41146,41148,43,48,9,Barack Obama
41145,41147,45,47,8,Barack Obama
41144,41146,45,48,7,Barack Obama
41143,41145,46,47,7,Barack Obama
41142,41144,47,47,6,Barack Obama
41141,41143,47,47,6,Barack Obama
41140,41142,46,49,5,Barack Obama
41139,41141,45,48,7,Barack Obama
41138,41140,47,47,6,Barack Obama
41137,41139,47,47,6,Barack Obama
41136,41138,45,49,6,Barack Obama
41135,41137,44,50,6,Barack Obama
41134,41136,44,50,6,Barack Obama
41133,41135,45,49,6,Barack Obama
41132,41134,45,49,6,Barack Obama
41131,41133,45,48,7,Barack Obama
41130,41132,43,50,7,Barack Obama
41129,41131,43,50,7,Barack Obama
41128,41130,43,51,6,Barack Obama
41127,41129,46,48,6,Barack Obama
41126,41128,47,47,6,Barack Obama
41125,41127,47,47,6,Barack Obama
41124,41126,46,47,7,Barack Obama
41123,41125,45,47,8,Barack Obama
41122,41124,45,48,7,Barack Obama
41121,41123,45,48,7,Barack Obama
41120,41122,45,49,6,Barack Obama
41119,41121,46,48,6,Barack Obama
41118,41120,46,46,8,Barack Obama
41117,41119,47,46,7,Barack Obama
41115,41118,48,46,6,Barack Obama
41114,41117,47,48,5,Barack Obama
41113,41115,47,47,6,Barack Obama
41112,41114,45,48,7,Barack Obama
41111,41113,44,49,7,Barack Obama
41110,41112,44,49,7,Barack Obama
41109,41111,46,47,7,Barack Obama
41108,41110,46,47,7,Barack Obama
41107,41109,47,46,7,Barack Obama
41106,41108,46,48,6,Barack Obama
41105,41107,46,47,7,Barack Obama
41104,41106,47,46,7,Barack Obama
41103,41105,47,45,8,Barack Obama
41102,41104,46,47,7,Barack Obama
41101,41103,45,48,7,Barack Obama
41100,41102,45,48,7,Barack Obama
41099,41101,45,47,8,Barack Obama
41098,41100,45,46,9,Barack Obama
41097,41099,44,47,9,Barack Obama
41096,41098,45,46,9,Barack Obama
41095,41097,46,46,8,Barack Obama
41093,41096,47,45,8,Barack Obama
41092,41095,45,46,9,Barack Obama
41091,41093,45,47,8,Barack Obama
41090,41092,46,47,7,Barack Obama
41089,41091,46,47,7,Barack Obama
41088,41090,48,46,6,Barack Obama
41087,41089,47,47,6,Barack Obama
41086,41088,47,46,7,Barack Obama
41085,41087,46,46,8,Barack Obama
41084,41086,45,47,8,Barack Obama
41083,41085,48,46,6,Barack Obama
41082,41084,47,48,5,Barack Obama
41081,41083,51,45,4,Barack Obama
41080,41082,46,46,8,Barack Obama
41079,41081,45,48,7,Barack Obama
41078,41080,43,49,8,Barack Obama
41077,41079,46,48,6,Barack Obama
41076,41078,45,48,7,Barack Obama
41075,41077,46,47,7,Barack Obama
41074,41076,45,49,6,Barack Obama
41073,41075,45,49,6,Barack Obama
41072,41074,44,49,7,Barack Obama
41071,41073,46,48,6,Barack Obama
41070,41072,48,45,7,Barack Obama
41069,41071,49,45,6,Barack Obama
41068,41070,50,44,6,Barack Obama
41067,41069,48,45,7,Barack Obama
41066,41068,47,45,8,Barack Obama
41065,41067,46,47,7,Barack Obama
41064,41066,45,48,7,Barack Obama
41063,41065,46,47,7,Barack Obama
41062,41064,46,46,8,Barack Obama
41061,41063,47,45,8,Barack Obama
41060,41062,46,47,7,Barack Obama
41059,41061,46,46,8,Barack Obama
41058,41060,45,47,8,Barack Obama
41056,41059,47,45,8,Barack Obama
41055,41058,47,46,7,Barack Obama
41054,41056,49,44,7,Barack Obama
41053,41055,48,45,7,Barack Obama
41052,41054,48,46,6,Barack Obama
41051,41053,47,47,6,Barack Obama
41050,41052,48,46,6,Barack Obama
41049,41051,47,47,6,Barack Obama
41048,41050,48,45,7,Barack Obama
41047,41049,48,46,6,Barack Obama
41046,41048,48,45,7,Barack Obama
41045,41047,46,47,7,Barack Obama
41044,41046,48,46,6,Barack Obama
41043,41045,47,47,6,Barack Obama
41042,41044,46,48,6,Barack Obama
41041,41043,45,48,7,Barack Obama
41040,41042,46,48,6,Barack Obama
41039,41041,46,47,7,Barack Obama
41038,41040,48,46,6,Barack Obama
41037,41039,49,45,6,Barack Obama
41036,41038,48,46,6,Barack Obama
41035,41037,47,46,7,Barack Obama
41034,41036,46,47,7,Barack Obama
41033,41035,47,47,6,Barack Obama
41032,41034,46,48,6,Barack Obama
41031,41033,48,46,6,Barack Obama
41030,41032,50,44,6,Barack Obama
41029,41031,51,43,6,Barack Obama
41028,41030,49,46,5,Barack Obama
41027,41029,48,47,5,Barack Obama
41026,41028,47,48,5,Barack Obama
41024,41027,48,45,7,Barack Obama
41023,41026,48,46,6,Barack Obama
41022,41025,49,44,7,Barack Obama
41021,41023,50,44,6,Barack Obama
41020,41022,50,44,6,Barack Obama
41019,41021,50,44,6,Barack Obama
41018,41020,47,45,8,Barack Obama
41017,41019,46,46,8,Barack Obama
41016,41018,46,46,8,Barack Obama
41015,41017,47,46,7,Barack Obama
41014,41016,47,47,6,Barack Obama
41013,41015,46,48,6,Barack Obama
41012,41014,45,48,7,Barack Obama
41011,41013,47,47,6,Barack Obama
41010,41012,48,46,6,Barack Obama
41009,41011,49,44,7,Barack Obama
41008,41010,48,44,8,Barack Obama
41006,41009,45,45,10,Barack Obama
41005,41008,44,46,10,Barack Obama
41004,41006,45,46,9,Barack Obama
41003,41005,47,46,7,Barack Obama
41002,41004,50,43,7,Barack Obama
41001,41003,49,46,5,Barack Obama
41000,41002,48,45,7,Barack Obama
40999,41001,48,44,8,Barack Obama
40998,41000,47,44,9,Barack Obama
40997,40999,46,45,9,Barack Obama
40996,40998,43,50,7,Barack Obama
40995,40997,44,47,9,Barack Obama
40994,40996,46,46,8,Barack Obama
40993,40995,48,44,8,Barack Obama
40992,40994,47,45,8,Barack Obama
40991,40993,46,45,9,Barack Obama
40990,40992,47,44,9,Barack Obama
40989,40991,48,44,8,Barack Obama
40988,40990,47,46,7,Barack Obama
40987,40989,46,47,7,Barack Obama
40986,40988,46,46,8,Barack Obama
40985,40987,49,44,7,Barack Obama
40984,40986,49,44,7,Barack Obama
40983,40985,46,47,7,Barack Obama
40982,40984,43,50,7,Barack Obama
40981,40983,44,50,6,Barack Obama
40980,40982,45,49,6,Barack Obama
40979,40981,48,45,7,Barack Obama
40978,40980,47,46,7,Barack Obama
40977,40979,49,43,8,Barack Obama
40976,40978,47,45,8,Barack Obama
40975,40977,48,44,8,Barack Obama
40974,40976,48,44,8,Barack Obama
40973,40975,48,44,8,Barack Obama
40972,40974,44,47,9,Barack Obama
40971,40973,43,48,9,Barack Obama
40970,40972,45,48,7,Barack Obama
40969,40971,48,46,6,Barack Obama
40968,40970,48,46,6,Barack Obama
40967,40969,47,48,5,Barack Obama
40966,40968,46,49,5,Barack Obama
40965,40967,45,50,5,Barack Obama
40964,40966,43,50,7,Barack Obama
40963,40965,45,47,8,Barack Obama
40962,40964,44,46,10,Barack Obama
40961,40963,45,46,9,Barack Obama
40960,40962,45,47,8,Barack Obama
40959,40961,45,48,7,Barack Obama
40958,40960,45,48,7,Barack Obama
40957,40959,44,48,8,Barack Obama
40956,40958,44,48,8,Barack Obama
40955,40957,46,47,7,Barack Obama
40954,40956,46,48,6,Barack Obama
40953,40955,46,48,6,Barack Obama
40952,40954,43,48,9,Barack Obama
40951,40953,45,45,10,Barack Obama
40950,40952,45,47,8,Barack Obama
40949,40951,46,47,7,Barack Obama
40948,40950,45,48,7,Barack Obama
40947,40949,48,46,6,Barack Obama
40946,40948,48,46,6,Barack Obama
40945,40947,49,45,6,Barack Obama
40942,40946,47,47,6,Barack Obama
40941,40945,46,48,6,Barack Obama
40940,40942,46,46,8,Barack Obama
40939,40941,45,48,7,Barack Obama
40938,40940,46,47,7,Barack Obama
40937,40939,44,49,7,Barack Obama
40936,40938,46,47,7,Barack Obama
40935,40937,46,47,7,Barack Obama
40934,40936,46,46,8,Barack Obama
40933,40935,46,47,7,Barack Obama
40932,40934,43,49,8,Barack Obama
40931,40933,44,49,7,Barack Obama
40930,40932,43,49,8,Barack Obama
40929,40931,44,47,9,Barack Obama
40928,40930,44,46,10,Barack Obama
40927,40929,44,46,10,Barack Obama
40926,40928,46,46,8,Barack Obama
40925,40927,45,46,9,Barack Obama
40924,40926,45,46,9,Barack Obama
40923,40925,45,46,9,Barack Obama
40922,40924,46,46,8,Barack Obama
40921,40923,46,47,7,Barack Obama
40920,40922,46,48,6,Barack Obama
40919,40921,45,48,7,Barack Obama
40918,40920,45,46,9,Barack Obama
40917,40919,43,48,9,Barack Obama
40916,40918,43,49,8,Barack Obama
40915,40917,42,50,8,Barack Obama
40914,40916,46,47,7,Barack Obama
40913,40915,45,46,9,Barack Obama
40912,40914,45,46,9,Barack Obama
40911,40913,45,46,9,Barack Obama
40910,40912,46,47,7,Barack Obama
40906,40911,47,46,7,Barack Obama
40905,40910,45,47,8,Barack Obama
40904,40906,43,48,9,Barack Obama
40903,40905,41,50,9,Barack Obama
40900,40904,44,48,8,Barack Obama
40899,40903,46,48,6,Barack Obama
40898,40900,47,45,8,Barack Obama
40897,40899,44,48,8,Barack Obama
40896,40898,43,48,9,Barack Obama
40895,40897,43,49,8,Barack Obama
40894,40896,43,50,7,Barack Obama
40893,40895,42,50,8,Barack Obama
40891,40894,42,51,7,Barack Obama
40890,40892,41,51,8,Barack Obama
40889,40891,42,50,8,Barack Obama
40888,40890,43,49,8,Barack Obama
40887,40889,45,48,7,Barack Obama
40886,40888,44,48,8,Barack Obama
40885,40887,43,50,7,Barack Obama
40884,40886,42,51,7,Barack Obama
40883,40885,42,51,7,Barack Obama
40882,40884,42,50,8,Barack Obama
40881,40883,41,51,8,Barack Obama
40880,40882,41,51,8,Barack Obama
40879,40881,43,49,8,Barack Obama
40878,40880,44,49,7,Barack Obama
40877,40879,41,51,8,Barack Obama
40876,40878,42,50,8,Barack Obama
40875,40877,42,50,8,Barack Obama
40874,40876,43,49,8,Barack Obama
40873,40875,43,49,8,Barack Obama
40872,40874,44,47,9,Barack Obama
40870,40873,44,48,8,Barack Obama
40869,40872,42,48,10,Barack Obama
40868,40870,41,51,8,Barack Obama
40867,40869,41,50,9,Barack Obama
40866,40868,43,50,7,Barack Obama
40865,40867,44,47,9,Barack Obama
40864,40866,45,47,8,Barack Obama
40863,40865,43,47,10,Barack Obama
40862,40864,41,49,10,Barack Obama
40861,40863,40,51,9,Barack Obama
40860,40862,42,50,8,Barack Obama
40859,40861,44,49,7,Barack Obama
40858,40860,43,49,8,Barack Obama
40857,40859,43,49,8,Barack Obama
40856,40858,42,49,9,Barack Obama
40855,40857,42,49,9,Barack Obama
40854,40856,42,47,11,Barack Obama
40853,40855,43,48,9,Barack Obama
40852,40854,44,48,8,Barack Obama
40851,40853,43,50,7,Barack Obama
40850,40852,42,50,8,Barack Obama
40849,40851,42,51,7,Barack Obama
40848,40850,42,50,8,Barack Obama
40846,40849,44,49,7,Barack Obama
40845,40848,45,48,7,Barack Obama
40844,40846,43,50,7,Barack Obama
40843,40845,43,50,7,Barack Obama
40842,40844,42,51,7,Barack Obama
40841,40843,43,49,8,Barack Obama
40840,40842,43,48,9,Barack Obama
40839,40841,42,50,8,Barack Obama
40838,40840,43,49,8,Barack Obama
40837,40839,42,50,8,Barack Obama
40836,40838,44,47,9,Barack Obama
40835,40837,43,49,8,Barack Obama
40834,40836,42,50,8,Barack Obama
40833,40835,39,54,7,Barack Obama
40832,40834,39,53,8,Barack Obama
40831,40833,38,54,8,Barack Obama
40830,40832,42,50,8,Barack Obama
40829,40831,40,52,8,Barack Obama
40828,40830,40,52,8,Barack Obama
40827,40829,38,54,8,Barack Obama
40826,40828,40,53,7,Barack Obama
40825,40827,41,51,8,Barack Obama
40824,40826,41,51,8,Barack Obama
40823,40825,40,52,8,Barack Obama
40822,40824,39,53,8,Barack Obama
40821,40823,39,53,8,Barack Obama
40820,40822,38,53,9,Barack Obama
40819,40821,40,52,8,Barack Obama
40818,40820,41,52,7,Barack Obama
40817,40819,42,50,8,Barack Obama
40816,40818,43,49,8,Barack Obama
40815,40817,43,50,7,Barack Obama
40814,40816,41,51,8,Barack Obama
40813,40815,39,52,9,Barack Obama
40812,40814,39,51,10,Barack Obama
40811,40813,40,51,9,Barack Obama
40810,40812,42,49,9,Barack Obama
40809,40811,41,50,9,Barack Obama
40808,40810,42,50,8,Barack Obama
40807,40809,39,53,8,Barack Obama
40806,40808,40,52,8,Barack Obama
40805,40807,41,51,8,Barack Obama
40804,40806,42,49,9,Barack Obama
40803,40805,42,50,8,Barack Obama
40802,40804,40,52,8,Barack Obama
40801,40803,40,53,7,Barack Obama
40800,40802,39,53,8,Barack Obama
40799,40801,39,52,9,Barack Obama
40798,40800,39,53,8,Barack Obama
40797,40799,40,52,8,Barack Obama
40796,40798,43,50,7,Barack Obama
40795,40797,42,49,9,Barack Obama
40794,40796,42,48,10,Barack Obama
40793,40795,43,48,9,Barack Obama
40792,40794,43,49,8,Barack Obama
40790,40793,44,50,6,Barack Obama
40789,40792,42,50,8,Barack Obama
40788,40790,43,50,7,Barack Obama
40787,40789,42,50,8,Barack Obama
40786,40788,42,51,7,Barack Obama
40785,40787,42,50,8,Barack Obama
40784,40786,42,50,8,Barack Obama
40782,40785,39,54,7,Barack Obama
40781,40784,38,55,7,Barack Obama
40780,40782,38,55,7,Barack Obama
40779,40781,41,51,8,Barack Obama
40778,40780,42,50,8,Barack Obama
40777,40779,41,50,9,Barack Obama
40776,40778,39,53,8,Barack Obama
40775,40777,38,54,8,Barack Obama
40774,40776,40,53,7,Barack Obama
40773,40775,40,53,7,Barack Obama
40772,40774,42,51,7,Barack Obama
40771,40773,40,53,7,Barack Obama
40770,40772,40,52,8,Barack Obama
40769,40771,40,52,8,Barack Obama
40768,40770,39,53,8,Barack Obama
40767,40769,41,52,7,Barack Obama
40766,40768,39,54,7,Barack Obama
40765,40767,42,51,7,Barack Obama
40764,40766,41,51,8,Barack Obama
40763,40765,41,51,8,Barack Obama
40762,40764,41,51,8,Barack Obama
40761,40763,40,50,10,Barack Obama
40760,40762,43,48,9,Barack Obama
40759,40761,42,50,8,Barack Obama
40758,40760,42,50,8,Barack Obama
40757,40759,41,52,7,Barack Obama
40756,40758,41,51,8,Barack Obama
40755,40757,42,49,9,Barack Obama
40754,40756,43,48,9,Barack Obama
40753,40755,43,50,7,Barack Obama
40752,40754,41,52,7,Barack Obama
40751,40753,40,52,8,Barack Obama
40750,40752,40,50,10,Barack Obama
40749,40751,43,48,9,Barack Obama
40748,40750,46,46,8,Barack Obama
40747,40749,46,46,8,Barack Obama
40746,40748,45,48,7,Barack Obama
40745,40747,42,49,9,Barack Obama
40744,40746,43,49,8,Barack Obama
40743,40745,43,49,8,Barack Obama
40742,40744,43,49,8,Barack Obama
40741,40743,42,48,10,Barack Obama
40740,40742,44,47,9,Barack Obama
40739,40741,44,48,8,Barack Obama
40738,40740,44,49,7,Barack Obama
40737,40739,42,50,8,Barack Obama
40736,40738,44,48,8,Barack Obama
40735,40737,44,48,8,Barack Obama
40734,40736,46,46,8,Barack Obama
40733,40735,46,46,8,Barack Obama
40732,40734,45,46,9,Barack Obama
40731,40733,46,45,9,Barack Obama
40730,40732,46,45,9,Barack Obama
40729,40731,47,44,9,Barack Obama
40727,40730,46,47,7,Barack Obama
40726,40729,45,47,8,Barack Obama
40725,40727,47,46,7,Barack Obama
40724,40726,45,47,8,Barack Obama
40723,40725,45,47,8,Barack Obama
40722,40724,44,47,9,Barack Obama
40721,40723,46,46,8,Barack Obama
40720,40722,45,46,9,Barack Obama
40719,40721,44,48,8,Barack Obama
40718,40720,43,49,8,Barack Obama
40717,40719,44,49,7,Barack Obama
40716,40718,45,48,7,Barack Obama
40715,40717,45,47,8,Barack Obama
40714,40716,43,50,7,Barack Obama
40713,40715,43,49,8,Barack Obama
40712,40714,45,48,7,Barack Obama
40711,40713,49,43,8,Barack Obama
40710,40712,49,44,7,Barack Obama
40709,40711,46,46,8,Barack Obama
40708,40710,45,47,8,Barack Obama
40707,40709,46,46,8,Barack Obama
40706,40708,47,47,6,Barack Obama
40705,40707,47,46,7,Barack Obama
40704,40706,47,45,8,Barack Obama
40703,40705,46,44,10,Barack Obama
40702,40704,46,45,9,Barack Obama
40701,40703,45,46,9,Barack Obama
40700,40702,46,44,10,Barack Obama
40699,40701,49,41,10,Barack Obama
40698,40700,50,40,10,Barack Obama
40697,40699,49,43,8,Barack Obama
40696,40698,47,45,8,Barack Obama
40695,40697,48,44,8,Barack Obama
40694,40696,51,42,7,Barack Obama
40692,40695,53,39,8,Barack Obama
40691,40694,49,42,9,Barack Obama
40690,40692,47,44,9,Barack Obama
40689,40691,46,45,9,Barack Obama
40688,40690,49,43,8,Barack Obama
40687,40689,51,41,8,Barack Obama
40686,40688,52,42,6,Barack Obama
40685,40687,53,41,6,Barack Obama
40684,40686,51,42,7,Barack Obama
40683,40685,50,42,8,Barack Obama
40682,40684,49,43,8,Barack Obama
40681,40683,49,43,8,Barack Obama
40680,40682,49,43,8,Barack Obama
40679,40681,50,43,7,Barack Obama
40678,40680,48,43,9,Barack Obama
40677,40679,48,43,9,Barack Obama
40676,40678,46,44,10,Barack Obama
40675,40677,48,44,8,Barack Obama
40674,40676,48,45,7,Barack Obama
40673,40675,50,43,7,Barack Obama
40672,40674,51,42,7,Barack Obama
40671,40673,51,40,9,Barack Obama
40670,40672,52,40,8,Barack Obama
40669,40671,51,40,9,Barack Obama
40668,40670,51,41,8,Barack Obama
40667,40669,51,41,8,Barack Obama
40666,40668,51,41,8,Barack Obama
40665,40667,52,40,8,Barack Obama
40664,40666,50,42,8,Barack Obama
40663,40665,47,44,9,Barack Obama
40662,40664,46,45,9,Barack Obama
40661,40663,46,46,8,Barack Obama
40660,40662,45,47,8,Barack Obama
40659,40661,43,49,8,Barack Obama
40658,40660,42,49,9,Barack Obama
40656,40659,43,48,9,Barack Obama
40655,40658,44,47,9,Barack Obama
40654,40656,44,46,10,Barack Obama
40653,40655,44,47,0,Barack Obama
40652,40654,44,47,9,Barack Obama
40651,40653,43,49,8,Barack Obama
40650,40652,42,49,9,Barack Obama
40649,40651,44,48,8,Barack Obama
40648,40650,44,47,9,Barack Obama
40647,40649,44,47,9,Barack Obama
40646,40648,41,49,8,Barack Obama
40645,40647,41,50,9,Barack Obama
40644,40646,42,50,8,Barack Obama
40643,40645,44,48,8,Barack Obama
40642,40644,46,46,8,Barack Obama
40641,40643,45,46,9,Barack Obama
40640,40642,45,46,9,Barack Obama
40639,40641,44,47,9,Barack Obama
40638,40640,45,47,8,Barack Obama
40637,40639,45,47,8,Barack Obama
40636,40638,45,45,10,Barack Obama
40635,40637,46,45,9,Barack Obama
40634,40636,46,45,9,Barack Obama
40633,40635,46,46,8,Barack Obama
40632,40634,46,45,9,Barack Obama
40631,40633,47,44,9,Barack Obama
40630,40632,49,43,8,Barack Obama
40629,40631,49,44,7,Barack Obama
40628,40630,48,45,7,Barack Obama
40627,40629,45,48,7,Barack Obama
40626,40628,46,46,8,Barack Obama
40625,40627,47,46,7,Barack Obama
40624,40626,46,46,8,Barack Obama
40623,40625,45,46,9,Barack Obama
40622,40624,45,46,9,Barack Obama
40621,40623,44,46,10,Barack Obama
40620,40622,46,44,10,Barack Obama
40619,40621,46,45,9,Barack Obama
40618,40620,49,43,8,Barack Obama
40617,40619,51,42,7,Barack Obama
40616,40618,50,43,7,Barack Obama
40615,40617,48,44,8,Barack Obama
40613,40615,46,44,10,Barack Obama
40612,40614,46,45,9,Barack Obama
40611,40613,49,43,8,Barack Obama
40610,40612,47,45,8,Barack Obama
40609,40611,47,45,8,Barack Obama
40608,40610,45,48,7,Barack Obama
40607,40609,46,46,8,Barack Obama
40606,40608,47,45,8,Barack Obama
40605,40607,47,45,8,Barack Obama
40604,40606,47,44,9,Barack Obama
40603,40605,45,46,9,Barack Obama
40602,40604,46,47,7,Barack Obama
40601,40603,45,46,9,Barack Obama
40600,40602,45,46,9,Barack Obama
40599,40601,47,44,9,Barack Obama
40598,40600,49,44,7,Barack Obama
40597,40599,50,42,8,Barack Obama
40596,40598,48,44,8,Barack Obama
40595,40597,46,46,8,Barack Obama
40594,40596,47,45,8,Barack Obama
40593,40595,46,45,9,Barack Obama
40592,40594,48,43,9,Barack Obama
40591,40593,48,44,8,Barack Obama
40590,40592,51,42,7,Barack Obama
40589,40591,49,43,8,Barack Obama
40588,40590,48,43,9,Barack Obama
40587,40589,46,46,8,Barack Obama
40586,40588,48,44,8,Barack Obama
40585,40587,49,43,8,Barack Obama
40584,40586,49,42,9,Barack Obama
40583,40585,48,44,8,Barack Obama
40582,40584,47,44,9,Barack Obama
40581,40583,48,44,8,Barack Obama
40579,40582,47,44,9,Barack Obama
40578,40581,46,45,9,Barack Obama
40577,40579,46,45,9,Barack Obama
40576,40578,45,47,8,Barack Obama
40575,40577,46,46,8,Barack Obama
40574,40576,48,45,7,Barack Obama
40573,40575,50,42,8,Barack Obama
40572,40574,50,41,9,Barack Obama
40571,40573,50,42,8,Barack Obama
40570,40572,50,41,9,Barack Obama
40569,40571,50,41,9,Barack Obama
40568,40570,49,41,10,Barack Obama
40567,40569,49,42,9,Barack Obama
40566,40568,49,43,8,Barack Obama
40565,40567,50,42,8,Barack Obama
40564,40566,50,42,8,Barack Obama
40563,40565,49,42,9,Barack Obama
40562,40564,51,41,8,Barack Obama
40561,40563,50,42,8,Barack Obama
40560,40562,51,42,7,Barack Obama
40559,40561,49,43,8,Barack Obama
40558,40560,50,42,8,Barack Obama
40557,40559,48,42,10,Barack Obama
40556,40558,49,42,9,Barack Obama
40555,40557,49,43,8,Barack Obama
40554,40556,49,43,8,Barack Obama
40552,40555,48,45,7,Barack Obama
40551,40554,48,44,8,Barack Obama
40550,40552,49,43,8,Barack Obama
40549,40551,48,43,9,Barack Obama
40548,40550,48,46,6,Barack Obama
40547,40549,46,48,6,Barack Obama
40546,40548,48,46,6,Barack Obama
40545,40547,49,45,6,Barack Obama
40541,40546,50,43,7,Barack Obama
40540,40545,50,42,8,Barack Obama
40539,40541,47,45,8,Barack Obama
40538,40540,47,46,7,Barack Obama
40535,40539,45,48,7,Barack Obama
40534,40538,46,46,8,Barack Obama
40533,40535,48,45,7,Barack Obama
40532,40534,49,45,6,Barack Obama
40530,40532,46,48,6,Barack Obama
40529,40531,46,45,9,Barack Obama
40528,40530,46,46,8,Barack Obama
40527,40529,46,45,9,Barack Obama
40526,40528,45,48,7,Barack Obama
40525,40527,45,46,9,Barack Obama
40524,40526,45,47,8,Barack Obama
40523,40525,46,45,9,Barack Obama
40522,40524,45,49,6,Barack Obama
40521,40523,46,47,7,Barack Obama
40519,40522,43,49,8,Barack Obama
40518,40521,45,47,8,Barack Obama
40517,40519,43,48,9,Barack Obama
40516,40518,46,47,7,Barack Obama
40515,40517,47,45,8,Barack Obama
40514,40516,48,43,9,Barack Obama
40513,40515,47,44,9,Barack Obama
40511,40514,45,47,8,Barack Obama
40510,40513,45,47,8,Barack Obama
40509,40511,47,45,8,Barack Obama
40508,40510,46,46,8,Barack Obama
40506,40509,45,47,8,Barack Obama
40505,40508,44,48,8,Barack Obama
40504,40506,44,48,8,Barack Obama
40503,40505,44,47,9,Barack Obama
40502,40504,46,46,8,Barack Obama
40501,40503,47,46,7,Barack Obama
40499,40502,46,47,7,Barack Obama
40498,40501,45,48,7,Barack Obama
40497,40499,46,47,7,Barack Obama
40496,40498,48,45,7,Barack Obama
40495,40497,48,45,7,Barack Obama
40494,40496,45,47,8,Barack Obama
40493,40495,43,49,8,Barack Obama
40492,40494,42,49,9,Barack Obama
40491,40493,43,49,8,Barack Obama
40490,40492,44,48,8,Barack Obama
40489,40491,44,48,8,Barack Obama
40488,40490,46,46,8,Barack Obama
40487,40489,47,46,7,Barack Obama
40486,40488,47,45,8,Barack Obama
40485,40487,45,47,8,Barack Obama
40484,40486,44,48,8,Barack Obama
40483,40485,44,49,7,Barack Obama
40482,40484,43,49,8,Barack Obama
40481,40483,44,48,8,Barack Obama
40480,40482,45,47,8,Barack Obama
40479,40481,47,47,6,Barack Obama
40478,40480,46,48,6,Barack Obama
40477,40479,46,48,6,Barack Obama
40476,40478,44,49,7,Barack Obama
40475,40477,44,48,8,Barack Obama
40474,40476,43,49,8,Barack Obama
40473,40475,43,48,9,Barack Obama
40472,40474,41,50,9,Barack Obama
40471,40473,43,48,9,Barack Obama
40470,40472,42,50,8,Barack Obama
40469,40471,46,46,8,Barack Obama
40468,40470,46,46,8,Barack Obama
40467,40469,48,44,8,Barack Obama
40466,40468,46,46,8,Barack Obama
40465,40467,44,48,8,Barack Obama
40464,40466,43,48,9,Barack Obama
40463,40465,44,48,8,Barack Obama
40462,40464,45,47,8,Barack Obama
40461,40463,45,48,7,Barack Obama
40460,40462,46,47,7,Barack Obama
40459,40461,46,48,6,Barack Obama
40457,40460,48,46,6,Barack Obama
40456,40459,47,46,7,Barack Obama
40455,40457,46,48,6,Barack Obama
40454,40456,43,50,7,Barack Obama
40453,40455,45,48,7,Barack Obama
40452,40454,46,48,6,Barack Obama
40451,40453,46,46,8,Barack Obama
40450,40452,46,46,8,Barack Obama
40449,40451,46,46,8,Barack Obama
40448,40450,47,47,6,Barack Obama
40447,40449,45,49,6,Barack Obama
40446,40448,45,49,6,Barack Obama
40445,40447,44,49,7,Barack Obama
40444,40446,44,49,7,Barack Obama
40443,40445,44,48,8,Barack Obama
40442,40444,44,48,8,Barack Obama
40441,40443,44,47,9,Barack Obama
40440,40442,43,48,9,Barack Obama
40439,40441,45,46,9,Barack Obama
40438,40440,47,46,7,Barack Obama
40437,40439,47,46,7,Barack Obama
40436,40438,45,49,6,Barack Obama
40435,40437,45,48,7,Barack Obama
40434,40436,45,48,7,Barack Obama
40433,40435,46,47,7,Barack Obama
40432,40434,47,46,7,Barack Obama
40431,40433,46,46,8,Barack Obama
40430,40432,46,46,8,Barack Obama
40429,40431,44,48,8,Barack Obama
40428,40430,45,47,8,Barack Obama
40427,40429,46,46,8,Barack Obama
40426,40428,45,47,8,Barack Obama
40425,40427,46,47,7,Barack Obama
