,YEAR_FIPS,STATE_FIPS,COUNTY_FIPS,HOUSE_WINNING_BINARY,SENATE_WINNING_BINARY,UNEMPLOYMENT_RATE,AVG_WAGE_SALARY,AA_FEMALE,AA_MALE,BA_FEMALE,BA_MALE,H_FEMALE,H_MALE,IA_FEMALE,IA_MALE,NA_FEMALE,NA_MALE,TOT_FEMALE,TOT_MALE,TOT_POP,WA_FEMALE,WA_MALE,TOT_POP_LESS19,TOT_MALE_LESS19,TOT_FEMALE_LESS19,TOT_POP_20to39,TOT_MALE_20to39,TOT_FEMALE_20to39,TOT_POP_40to59,TOT_MALE_40to59,TOT_FEMALE_40to59,TOT_POP_Above60,TOT_MALE_Above60,TOT_FEMALE_Above60,AA_FEMALE%,AA_MALE%,BA_FEMALE%,BA_MALE%,H_FEMALE%,H_MALE%,IA_FEMALE%,IA_MALE%,NA_FEMALE%,NA_MALE%,WA_FEMALE%,WA_MALE%,TOT_FEMALE%,TOT_MALE%,TOT_POP_LESS19%,TOT_POP_20to39%,TOT_POP_40to59%,TOT_POP_Above60%,COUNTY_TOTALVOTES
339,20161041,1,41,1,1,5.8,35031,100,99,1736,1515,92,124,32,31,4,6,7067,6792,13859,5075,5024,3453,1811,1642,3168,1585,1583,3869,1907,1962,3369,1489,1880,0.007215528000000001,0.007143373000000001,0.12526156300000002,0.10931524599999999,0.006638286,0.008947254,0.002308969,0.0022368139999999997,0.000288621,0.00043293199999999997,0.366188037,0.362508117,0.509921351,0.490078649,0.249152175,0.22858792100000003,0.27916877100000004,0.243091132,4718
340,20161043,1,43,1,1,5.0,36763,268,187,417,529,1560,1811,243,244,26,17,40959,40108,81067,39522,38635,20060,10308,9752,19801,10100,9701,21960,11047,10913,19246,8653,10593,0.0033059070000000003,0.002306734,0.005143893,0.006525466999999999,0.019243342,0.022339546000000002,0.002997521,0.0030098559999999996,0.000320722,0.000209703,0.487522666,0.4765811,0.505248745,0.494751255,0.24744964,0.244254752,0.27088704399999997,0.23740856300000002,36372
341,20161045,1,45,1,1,5.8,56797,412,214,5183,4476,1404,1499,179,216,35,32,24995,24422,49417,18455,18836,12799,6509,6290,13486,6971,6515,12668,6227,6441,10464,4715,5749,0.008337212,0.004330494,0.104882935,0.09057611800000001,0.028411275,0.030333691,0.003622235,0.004370965,0.000708258,0.00064755,0.373454479,0.38116437700000005,0.5057976,0.49420240000000004,0.258999939,0.272902038,0.25634903,0.211748993,21348
342,20161047,1,47,1,1,9.2,177875,76,103,15910,13175,173,221,36,64,5,11,22315,19247,41562,6111,5738,11534,5830,5704,9970,4505,5465,10895,4940,5955,9163,3972,5191,0.0018285929999999999,0.002478225,0.38280159799999997,0.316996295,0.004162456,0.005317356999999999,0.0008661760000000001,0.0015398679999999998,0.000120302,0.000264665,0.147033348,0.138058804,0.536908715,0.463091285,0.27751311300000003,0.239882585,0.262138492,0.22046581,16358
343,20161049,1,49,1,1,6.0,206916,140,150,655,638,4756,5178,726,726,221,259,35889,35110,70999,33366,32594,19179,9844,9335,17288,8722,8566,19129,9568,9561,15403,6976,8427,0.001971859,0.0021127060000000002,0.009225482,0.008986042,0.06698685900000001,0.072930605,0.010225496,0.010225496,0.00311272,0.003647939,0.469950281,0.45907688799999996,0.505485993,0.49451400700000003,0.270130565,0.24349638699999998,0.26942633,0.216946718,28083
344,20161051,1,51,1,1,4.7,67780,320,221,8478,8414,1179,1104,180,185,48,48,41540,39028,80568,31835,29606,20110,10258,9852,21987,10790,11197,22719,10752,11967,15752,7228,8524,0.0039718,0.002743025,0.105227882,0.10443352199999999,0.014633601000000001,0.013702711000000001,0.002234138,0.0022961970000000003,0.00059577,0.00059577,0.395132062,0.367465991,0.515589316,0.484410684,0.24960282,0.272899911,0.281985404,0.195511866,34155
345,20161053,1,53,1,1,6.6,75480,60,36,5651,6570,331,443,673,661,6,14,18328,19410,37738,11643,11781,9164,4574,4590,9768,5505,4263,10304,5541,4763,8502,3790,4712,0.001589909,0.000953946,0.149742965,0.174095077,0.008771,0.011738831000000002,0.017833483,0.017515502,0.000158991,0.000370979,0.308521914,0.31217870600000003,0.485664317,0.514335683,0.242832159,0.258837246,0.27304043699999997,0.22529015800000002,17296
346,20161055,1,55,1,1,5.9,35339,386,420,8504,7434,1698,2034,259,307,139,153,53364,50043,103407,43233,40958,25167,12968,12199,24771,12176,12595,28571,13974,14597,24898,10925,13973,0.0037328229999999997,0.004061621,0.082238146,0.07189068400000001,0.016420551999999998,0.019669848,0.002504666,0.0029688509999999998,0.001344203,0.00147959,0.418085816,0.396085371,0.516057907,0.48394209299999996,0.243378108,0.23954858,0.276296576,0.240776737,43480
347,20161057,1,57,1,1,6.7,347292,25,17,1005,965,123,147,35,38,1,0,8455,8313,16768,7296,7200,4021,2146,1875,3717,1888,1829,4588,2267,2321,4442,2012,2430,0.001490935,0.0010138360000000002,0.059935592,0.057550095,0.007335401,0.008766698,0.002087309,0.002266221,5.96e-05,0.0,0.43511450399999996,0.429389313,0.504234256,0.495765744,0.23980200399999999,0.221672233,0.273616412,0.264909351,6771
348,20161059,1,59,1,1,5.9,836075,69,57,624,785,2207,2875,195,261,50,23,15778,15783,31561,14621,14383,8408,4373,4035,8023,4182,3841,8306,4197,4109,6824,3031,3793,0.002186243,0.001806026,0.019771237,0.024872468999999998,0.06992807599999999,0.09109343800000001,0.006178510999999999,0.0082697,0.001584234,0.000728748,0.46326162,0.455720668,0.49992078799999995,0.500079212,0.26640474,0.25420614,0.263172903,0.21621621600000002,12882
