date,final_score
2020-05-28,1.7515000000000005
2020-05-29,1.8706666666666678
2020-05-30,3.0299999999999994
2020-05-31,2.784
2020-06-01,0.0
2020-06-02,2.7946666666666666
2020-06-03,9.6
2020-06-04,7.35
2020-06-05,4.331
2020-06-06,6.175666666666667
2020-06-07,10.348666666666668
2020-06-08,2.9733333333333336
2020-06-09,3.1133333333333337
2020-06-10,2.5215
2020-06-11,2.5009999999999994
2020-06-12,4.23
2020-06-13,5.446666666666666
2020-06-14,0.0
2020-06-15,2.058666666666666
2020-06-16,0.36733333333333357
2020-06-17,2.16
2020-06-18,4.646666666666668
2020-06-19,1.7819999999999998
2020-06-20,1.616666666666667
2020-06-21,2.0083333333333333
2020-06-22,3.186000000000001
2020-06-23,2.8930000000000002
2020-06-24,5.736000000000002
2020-06-25,1.8296666666666666
2020-06-26,3.5025
2020-06-27,0.0
2020-06-28,2.5380000000000003
2020-06-29,10.440500000000002
