date,text
2020-06-06,marc thiessen on biden reaction to may jobs report: ex-vp seems to be 'rooting against' recovery
2020-06-06,park police walk back tear gas denial in aggressive lafayette park clearing
2020-06-06,twitter search for 'racist' shows trump's profile as top account
2020-06-06,"trump directs pentagon to pull 9,500 us troops from germany by september"
2020-06-06,senior trump aide apologizes after promoting video of chainsaw-wielding man yelling racial slur
2020-06-06,"laura ingraham: 'experts' wrong about trump once again, may jobs report shows"
2020-06-06,mark zuckerberg explains why trump message on facebook wasn't censored after employee backlash
2020-06-06,arnon mishkin: one crisis too many — will the riots be trump's undoing?
2020-06-06,saints players praise drew brees for response to trump's criticism: 'apology is a form of true leadership'
2020-06-06,"bill maher: 'reckless' lockdowns helped fuel riots, could lead to 'blood in the streets' after election"
2020-06-06,gutfeld on 'defunding' police: 911 should block celebrity advocates; gun shops should restrict sales
2020-06-07,gopers on capitol hill aren't wavering in support of trump despite criticism
2020-06-07,robert jeffress: coronavirus recovery — time for churches to reopen. here's how we're proceeding
2020-06-07,ivanka trump rips ‘cancel culture’ after she’s dropped as commencement speaker
2020-06-07,"bush, romney not expected to support trump, nyt reports"
2020-06-07,newt gingrich: democrats want to steal november election – here’s how
2020-06-07,giuliani 'disappointed' in reports that bush won't back trump's reelection; says romney has 'chip on his shoulder'
2020-06-07,"massachusetts trump supporter, 82, ‘violently assaulted’ by motorist, 27, police say"
2020-06-07,colin powell says he 'cannot in any way support' trump; announces he will vote for biden
2020-06-07,lara trump rips biden on floyd 'pandering': ex-vp has done 'nothing' for african-americans
2020-06-07,"trump rails against biden, 'radical left democrats' over movement to defund police"
2020-06-07,trump withdraws national guard from dc now that 'everything is under perfect control'
2020-06-07,"clinton calls trump 'failure' in blistering interview, questions how anyone 'with a beating heart and a working mind' supports him"
2020-06-07,"mike huckabee encourages all republicans to 'make the right move,' support trump's reelection"
2020-06-07,mattis criticism shows president trump's 'manner of leadership' is 'catching up to him': paul gigot
2020-06-07,sen. graham refuses to let fisa abuse get pinned on low-level fbi staff: 'i believe it goes to the very top'
2020-06-07,george floyd's brother to testify before congress in police brutality hearing
2020-06-07,"'watters' world' exclusive: pence hits biden over silence on riot victims, defends trump's church visit"
2020-06-07,dc mayor defends protests; blasts trump's move to call in u.s. troops
2020-06-07,peter navarro: 'i blame china' for a lot of the economic hardships plaguing the us
2020-06-07,dan gainor: new york times surrender — leftist takeover continues after cotton op-ed
2020-06-08,john sununu on new polls favoring biden: trump's rhetoric getting him into 'real trouble'
2020-06-08,"trump shrugs off colin powell’s support for biden, brings up wmd un speech"
2020-06-08,president trump rejects threats to cut police budgets
2020-06-08,steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform
2020-06-08,sally pipes: coronavirus lockdown — how many harmed by disruption to routine medical care?
2020-06-08,trump says he wants to see policing done in a 'more gentle fashion'
2020-06-08,"joy behar mocks trump's 'stupid' white house fence blocking protesters: 'you're a loser, you're done'"
2020-06-08,steve hilton: it's time for trump to step up and reform policing
2020-06-08,trump mocks romney for marching with protesters to white house: ‘what a guy’
2020-06-08,trump adviser slams 'weak statement' from biden campaign on calls to defund police
2020-06-08,"rome archbishop urges trump to fight ‘deep state’ amid criticism over protests, coronavirus"
2020-06-08,mcenany: trump believes there are 'instances of racism’ but most cops are ‘good people’
2020-06-08,trump supporters pumping thousands into aoc's primary opponent's coffers: report
2020-06-08,trump to resume trademark campaign rallies after coronavirus hiatus
2020-06-08,mcenany: white house has ‘no regrets’ over clearing protesters from lafayette square
2020-06-08,tammy bruce: why the gop establishment turning against trump confirms what we suspected
2020-06-08,"trump takes aim at nfl, wonders whether roger goodell will allow players to kneel for national anthem"
2020-06-08,pro-biden pac aims to weaken trump with seniors in key battlegrounds
2020-06-08,meghan mccain: 'president bone spurs' has been 'neutered' during george floyd unrest
2020-06-08,mike tyson posts photo of himself kneeling amid george floyd anger
2020-06-09,"big majority backs protests as trump, biden debate police role"
2020-06-09,guy benson: on trump’s conspiratorial tweet “it debases the office” & “poisoning our national dialog”
2020-06-09,guy benson: on trump’s conspiratorial tweet “it debases the office” & “poisoning our national dialogue”
2020-06-09,village people singer victor willis asks trump to stop playing 'ymca' and 'macho man' at rallies
2020-06-09,new york times fiasco: media bring trump model to racial issues
2020-06-09,"spike lee mocks trump, says voters must go 'hell no to agent orange' or 'world is in peril'"
2020-06-09,donald trump jr. says dems calling for police to be defunded should first call for security details to be cut
2020-06-09,"trump to announce executive, legislative actions on police reform: sources"
2020-06-09,cal thomas: trump and african-americans – these are the actions he must take now
2020-06-09,"marc thiessen: if dems back defunding police, trump will win reelection"
2020-06-09,"'tiger king' joe exotic says husband abandoned him, begs donald trump, cardi b and kim kardashian for help"
2020-06-09,george w. bush’s office calls claim he won’t back trump ‘completely made up’
2020-06-09,trump takes heat for suggesting man shoved by buffalo police may be ‘antifa provocateur’
2020-06-09,house republicans object to pulling us troops out of germany
2020-06-09,rnc chairwoman believes trump will be holding 'full rallies' with safety precautions
2020-06-09,"president trump, senate republicans to put forward proposals for possible police reform"
2020-06-09,"george p. bush, texas land commissioner and son of jeb, will vote for trump"
2020-06-09,"barr says fbi was ‘spring-loaded’ to investigate trump campaign, ignored ‘exculpatory evidence’"
2020-06-09,meghan mccain claims push to 'defund the police' is helping trump reelection bid
2020-06-09,brit hume on nyt's backlash to cotton op-ed: this is journalism in the age of trump
2020-06-10,the 2020 election is reshaped … again
2020-06-10,"for president struggling on protests, ‘defund the police’ is a gift"
2020-06-10,"romney says he believes gop will maintain control of senate, trump will be reelected"
2020-06-10,fired state department watchdog says he was given 'no valid reason' for his removal
2020-06-10,trump jr. calls out biden over comments urging action against police brutality
2020-06-10,top trump campaign spokesman says biden is on the 'defund police' train 'whether he knows it or not'
2020-06-10,doug collins on barr's fox news interview: we were right about fbi wanting to 'get' trump
2020-06-10,"as support for protests grows, republicans get nervous about november"
2020-06-10,ex-doj employees sign letter calling for probe of barr’s role in clearing lafayette square protesters
2020-06-10,trump says his administration 'will not even consider' renaming military bases named for confederates
2020-06-10,spike lee compliments saints' drew brees for standing up to trump over anthem remarks: report
2020-06-10,pro-trump activist scott presler travels nation to 'make america clean and great again'
2020-06-10,"alyssa milano, more stars rip trump for suggesting man shoved by buffalo police may be ‘antifa provocateur’"
2020-06-10,aoc denounces 'horrendous' trump tweet about 75-year-old buffalo protester injured by police
2020-06-10,chris stirewalt: trump campaign is 'demonstrably worse off' than in 2016
2020-06-10,president trump expected to issue executive order to implement police reforms at the executive level
2020-06-10,"brian arbour: trump reelection threatened by low approval ratings, coronavirus pandemic and racial strife"
2020-06-10,"trump says he intends to hold rallies in oklahoma, florida, arizona, north carolina after coronavirus hiatus"
2020-06-10,tim graham: fact-checkers vs. trump – here's what they are too biased to recognize
2020-06-10,"us men's soccer player weston mckinnie slams trump as 'ignorant,' 'racist'"
2020-06-11,biden ‘convinced’ us military would intervene if trump refused to leave white house - fox news
2020-06-11,president trump says the 'horror' of george floyd's death is unfairly stereotyping america's police officers
2020-06-11,joe biden fears president trump will try to 'steal this election'
2020-06-11,newly declassified intel document noted steele dossier claims had 'limited corroboration'
2020-06-11,newt gingrich: democrats must apologize – here's how they've failed america's cities
2020-06-11,"white house, republican lawmakers close to unveiling plans for police reform"
2020-06-11,biden says trump will attempt to 'steal' presidential election
2020-06-11,"trump vows executive order to address law enforcement use of force, but slams 'defund the police' movement"
2020-06-11,trump administration reverses ban on controversial hunting practices at alaska's national preserves
2020-06-11,trump campaign urges tv networks to cover biden events: expose his 'rambling displays of incoherence'
2020-06-11,dems rip trump for planning tulsa rally on juneteenth
2020-06-11,snoop dogg addresses trump supporters: 'f--k you'
2020-06-11,rep. al green says he's 'willing to forgive' trump if he combats 'institutionalized racism'
2020-06-11,ari fleischer: trump must do more 'to help the nation come together'
2020-06-11,joy behar walks back criticism of trump as a 'domestic terrorist'
2020-06-11,ivanka trump speech cancelation won’t cost wichita state president his job: report
2020-06-11,biden ‘convinced’ us military would intervene if trump refused to leave white house
2020-06-11,"trail blazers' c.j. mccollum upset over trump's rally venue, date"
2020-06-11,former arizona police officer brings down the house on 'the deplorables' comedy tour
2020-06-11,"pence criticized after packed meeting with trump campaign staff, ignoring social distancing guidelines"
2020-06-12,john yoo on seattle unrest: does trump have the power to intervene?
2020-06-12,president trump says he is finalizing executive order on police reform
2020-06-12,president trump repeats threat to end seattle protests
2020-06-12,"harris faulkner asks trump why he tweeted 'when the looting starts, the shooting starts'"
2020-06-12,spike lee: biden got 'a lot of phone calls' after the 'you ain't black' comments
2020-06-12,trump responds to biden's claim that he'll try to steal the election: 'joe's not all there'
2020-06-12,trump says he won't 'let seattle be occupied' by police-hating lawbreakers
2020-06-12,trump calls for ‘new and updated’ republican party platform
2020-06-12,trump responds to milley apology for lafayette square photo op
2020-06-12,"rep. michael waltz on helping persuade president trump to bring the rnc to jacksonville, fl"
2020-06-12,top papers call trump out of step with changing racial attitudes
2020-06-12,melania trump aide slams ‘false’ wapo story claiming first lady delayed white house move to renegotiate prenup
2020-06-12,"john cusack claims military has 'abandoned' trump, remaining supporters are racists"
2020-06-12,trump mocks seattle mayor’s ‘summer of love’ comment: ‘these liberal dems don’t have a clue’
2020-06-12,trump on decision to hold tulsa rally on juneteenth: 'it's a celebration'
2020-06-12,ted williams says trump should 'butt out' of seattle occupation debate: 'this is a state and local matter'
2020-06-12,attendees at trump’s rally next week must agree not to sue campaign if they get coronavirus
2020-06-12,cnn’s chris cuomo mocked for using obama-era data to prove systemic racism impacts trump-era economy
2020-06-12,north korea marks 2-year anniversary of trump-kim summit by vowing to build up military
2020-06-12,rep. bobby rush blasts trump as 'the worst thing that has ever happened to the american presidency'
2020-06-13,reince priebus' advice to the trump campaign: demand six debates with joe biden
2020-06-13,reince priebus wants lots of trump-biden debates: 'president is going to eat up joe biden'
2020-06-13,trump delays tulsa rally until june 20 over ‘juneteenth’ concerns
2020-06-13,"newt gingrich: america is we know it would end if biden, pelosi and schumer govern"
