,state,score
0,US,33.655913978494624
1,US-AL,8.043010752688172
2,US-AK,1.075268817204301
3,US-AZ,12.064516129032258
4,US-AR,7.881720430107527
5,US-CA,33.88172043010753
6,US-CO,10.440860215053764
7,US-CT,16.333333333333332
8,US-DE,2.075268817204301
9,US-DC,10.236559139784946
10,US-FL,24.204301075268816
11,US-GA,22.741935483870968
12,US-HI,9.10752688172043
13,US-ID,1.8279569892473118
14,US-IL,19.9247311827957
15,US-IN,13.365591397849462
16,US-IA,10.451612903225806
17,US-KS,10.096774193548388
18,US-KY,13.483870967741936
19,US-LA,7.21505376344086
20,US-ME,2.3225806451612905
21,US-MD,13.946236559139784
22,US-MA,23.182795698924732
23,US-MI,12.268817204301076
24,US-MN,7.494623655913978
25,US-MS,2.774193548387097
26,US-MO,11.827956989247312
27,US-MT,1.075268817204301
28,US-NE,7.526881720430108
29,US-NV,5.795698924731183
30,US-NH,5.021505376344086
31,US-NJ,26.516129032258064
32,US-NM,8.182795698924732
33,US-NY,40.344086021505376
34,US-NC,19.892473118279568
35,US-ND,3.838709677419355
36,US-OH,13.440860215053764
37,US-OK,8.086021505376344
38,US-OR,8.89247311827957
39,US-PA,16.301075268817204
40,US-RI,2.0
41,US-SC,9.56989247311828
42,US-SD,1.075268817204301
43,US-TN,11.494623655913978
44,US-TX,23.129032258064516
45,US-UT,4.720430107526882
46,US-VT,3.021505376344086
47,US-VA,20.376344086021504
48,US-WA,14.913978494623656
49,US-WV,1.967741935483871
50,US-WI,13.150537634408602
51,US-WY,2.086021505376344
