headlines,terms,dates
trump expected to sign executive order expanding immigration restrictions,trump,2020-06-20
trump returns to 2020 campaign trail with tulsa rally,trump,2020-06-20
leslie marshall: biden vs. trump — women could decide 2020 race. here's why,trump,2020-06-20
andrew mccarthy: trump's supreme court list – 2016 battle plan may not work this year,trump,2020-06-21
"trump confirms new visa restrictions coming, sounds off on protesters in fnc interview",trump,2020-06-21
senior adviser for trump campaign on empty seats at tulsa rally: protesters had 'an impact',trump,2020-06-21
steve hilton: why a second trump term is so important,trump,2020-06-22
"trump to sign order expanding immigration restrictions to include h-1b, other guest worker programs",trump,2020-06-22
trump's steel tariffs stand after supreme court declines challenge,trump,2020-06-22
kt mcfarland: trump and bolton – this is when i knew it wasn't going to end well,trump,2020-06-22
"trump urges aoc to run against schumer, says she’d win",trump,2020-06-22
"dreamer, trump supporter defends white house's bid to end daca in favor of broader reform",trump,2020-06-22
"mcenany denies trump ordered slowdown in coronavirus testing, says rally comment was made 'in jest'",trump,2020-06-22
"trump defends coronavirus testing comment, says more tests make 'us look like we have more cases'",trump,2020-06-22
john sununu: trump should focus campaign message on 'chaos' in democrat-run cities and states,trump,2020-06-22
trump’s return to the campaign trail backfires,trump,2020-06-22
"peter navarro declares trade deal between trump, china is 'over' - fox news",trump,2020-06-23
"peter navarro declares trade deal between trump, china is 'over'",trump,2020-06-23
trump jr. trolls by suggesting torn-down statues should be replaced with a 'more sturdy statue' of his father,trump,2020-06-23
trump blasts 'weak' state leaders for allowing removal of statues and historic monuments,trump,2020-06-23
house republicans urge trump to reconsider us troop withdrawal from germany,trump,2020-06-23
"bolton, in fnc interview, calls trump’s coronavirus response ‘incoherent’",trump,2020-06-23
biden campaign goes after trump comments on venezuela,trump,2020-06-23
hillary clinton tells amy schumer she wants to send trump 'back to the golf course full-time',trump,2020-06-23
trump administration announces rule limiting asylum seekers’ ability to gain work permits,trump,2020-06-23
trump announces he'll issue executive order to 'make the cities guard their monuments',trump,2020-06-23
trump and biden pitch their economic recovery plans,trump,2020-06-24
trump scores court win on hospital price transparency,trump,2020-06-24
"madison cawthorn, 24-year-old who won gop primary in nc, says trump congratulated him on 'beautiful' win",trump,2020-06-24
