,Unnamed: 0,date,score
0,0,2016-10-08,0.946058091286307
1,1,2016-10-09,1.0786516853932584
2,2,2016-10-10,1.064587973273942
3,3,2016-10-11,1.0311111111111109
4,4,2016-10-12,1.0675105485232068
5,5,2016-10-13,1.0121703853955375
6,6,2016-10-14,1.1049382716049383
7,7,2016-10-15,1.0723684210526316
8,8,2016-10-16,1.2330508474576272
9,9,2016-10-17,1.059808612440191
10,10,2016-10-18,1.3275362318840578
11,11,2016-10-19,1.2900943396226414
12,12,2016-10-20,1.0287610619469028
13,13,2016-10-21,1.0960334029227556
14,14,2016-10-22,1.096311475409836
15,15,2016-10-23,0.9919028340080972
16,16,2016-10-24,1.127906976744186
17,17,2016-10-25,0.8343558282208589
18,18,2016-10-26,1.0
19,19,2016-10-27,1.1279317697228144
20,20,2016-10-28,1.0534521158129175
21,21,2016-10-29,1.147540983606557
22,22,2016-10-30,1.1039755351681957
23,23,2016-10-31,1.3829321663019694
24,24,2016-11-01,1.0060728744939271
25,25,2016-11-02,1.1443037974683543
26,26,2016-11-03,1.110204081632653
27,27,2016-11-04,1.1459694989106757
28,28,2016-11-05,1.151006711409396
29,29,2016-11-06,1.4458333333333333
