date,score_mn
2020-06-05,2.1
2020-06-06,1.9166666666666665
2020-06-07,1.5
2020-06-08,1.6428571428571428
2020-06-09,1.9375
2020-06-10,1.7111801242236022
2020-06-11,1.7222222222222223
2020-06-12,2.0666666666666664
2020-06-13,1.6666666666666665
2020-06-14,1.7826086956521738
2020-06-15,2.0555555555555554
2020-06-16,1.5742753623188406
2020-06-17,1.7777777777777777
2020-06-18,1.9166666666666665
2020-06-19,1.8
2020-06-20,2.0
2020-06-21,1.4166666666666665
2020-06-22,1.5833333333333335
2020-06-23,1.6666666666666667
2020-06-24,2.0625
2020-06-25,1.5
2020-06-26,1.9027777777777777
2020-06-27,1.7826086956521738
2020-06-28,2.4166666666666665
2020-06-29,1.65
2020-06-30,1.6931818181818183
2020-07-01,1.7201086956521738
2020-07-02,1.75
2020-07-03,1.6638241652654338
2020-07-04,1.6638241652654338
