date,score_mn
2020-06-05,1.0716553287981858
2020-06-06,1.5
2020-06-07,1.5
2020-06-08,1.0716553287981858
2020-06-09,1.0716553287981858
2020-06-10,0.8777777777777778
2020-06-11,1.75
2020-06-12,1.25
2020-06-13,1.75
2020-06-14,1.0716553287981858
2020-06-15,1.1277777777777778
2020-06-16,1.2111111111111112
2020-06-17,1.8333333333333335
2020-06-18,1.25
2020-06-19,1.4166666666666665
2020-06-20,2.0
2020-06-21,1.5
2020-06-22,1.75
2020-06-23,1.8
2020-06-24,1.3777777777777778
2020-06-25,1.625
2020-06-26,1.8777777777777778
2020-06-27,1.5
2020-06-28,2.25
2020-06-29,1.5
2020-06-30,1.693877551020408
2020-07-01,0.8777777777777778
2020-07-02,1.8777777777777778
2020-07-03,1.0716553287981858
2020-07-04,1.0716553287981858
