,created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count
0,Sun May 31 23:59:59 +0000 2020,@Alyssa_Milano @GOP Remember when you started #metoo and said we should always believe the woman and then Biden was… https://t.co/2MS0DFb0Md,1267244466332749824,3123828328,,6,,,0,0
1,Sun May 31 23:59:59 +0000 2020,George Floyd Death Reshapes Biden’s VP Search https://t.co/vPps297rKQ via @politicalwire,1267244466202726400,16250929,New York,71042,,,0,3
2,Sun May 31 23:59:59 +0000 2020,"@WalshFreedom God help US if your empty suit Biden makes it, Walsh! Only if We The (sane) People defeat Dems … bigl… https://t.co/g1R07E4vFg",1267244466009563137,268929992,The voting booth! ,1060,,,0,1
3,Sun May 31 23:59:59 +0000 2020,"RT @AngrierWHStaff: Trump: shitposting from his bunker 

Biden: marching with protestors",1267244465690902530,272057789,chicago,178,,,0,0
4,Sun May 31 23:59:59 +0000 2020,"RT @JonLemire: “He’s been over coronavirus for a long time,” said one veteran Trump adviser who described the president as focused instead…",1267244465594433536,98228917,"Detroit, MI",62,,,0,0
5,Sun May 31 23:59:59 +0000 2020,@knightsabers01 @realDonaldTrump I know that but still you’ll never see Trump doing what Biden is doing,1267244464864669699,2402513629,"Richmond, VA",1011,,,0,0
6,Sun May 31 23:59:59 +0000 2020,"@StevenBeschloss @tweetzydeetzy THE most disgusting psycho in the world.  In the midst of this nightmare, he ridicu… https://t.co/iFnEjQhZlG",1267244464550133760,1222971271262195714,Alligator Alley,892,,,0,0
7,Sun May 31 23:59:59 +0000 2020,@AndrewYang Except Val Demings should be Biden’s VP,1267244464101380104,18478208,,43,,,0,2
8,Sun May 31 23:59:59 +0000 2020,"RT @ivannmz_: cancelen a Trump, los Clinton, Obama, al Príncipe Andres, a Joe Biden, a los Hermanos Podesta, CANCELEN A TODOS POR PEDOFILOS…",1267244464051032069,565992606,Costa Rica,466,,,0,0
9,Sun May 31 23:59:59 +0000 2020,"@Eggymceggerson3 @Zamboni231 @_RPTC4 @NateSilver538 Yep. But when Biden loses the Senate in 2022, Republicans block… https://t.co/zRiiLrtAGX",1267244463895859206,1207219866865942528,,122,,,0,0
10,Sun May 31 23:59:59 +0000 2020,"RT @AlbertMacGloan: Where’s Joe Biden? On the street standing behind these young frustrated men

Where’s Donald Trump? Barricaded in the Wh…",1267244463836954624,31358117,"Boise, Idaho",705,,,0,0
11,Sun May 31 23:59:59 +0000 2020,@NickyHoi Don’t JUMP-President TRUMP WILL BE RE-Elected. “Mentally Ill?” Democrat Candidate SLEEZY Joe Biden is MEN… https://t.co/72O1EUNPY1,1267244463757438977,1062563806071676930,"Steubenville, OH",10,,,0,1
12,Sun May 31 23:59:58 +0000 2020,"RT @AngrierWHStaff: Trump: shitposting from his bunker 

Biden: marching with protestors",1267244463094726657,246652085,,3799,,,0,0
13,Sun May 31 23:59:58 +0000 2020,@GOP Biden didn’t threaten violence on US citizens like Captain Cantaloupe did.,1267244462742396938,1245827148029530112,,2241,,,0,0
14,Sun May 31 23:59:58 +0000 2020,RT @juicedupmiles2x: So Joe Biden out in these streets and y’all President on twitter in his highly secured home🤭? https://t.co/mgSYsYVsAY,1267244462033559557,427126206,,488,,,0,0
15,Sun May 31 23:59:58 +0000 2020,"@JoeBiden THIS IS THE REAL CAUSE OF MINNEAPOLIS RIOT:                         
"" TAKE THEM OUT OF SOCIETY“
Joe Bide… https://t.co/wWr7wASsVS",1267244461823844352,225833099,United States,251,,,2,0
16,Sun May 31 23:59:58 +0000 2020,"RT @thehill: JUST IN: Biden visits site of George Floyd protests in Wilmington, Delaware https://t.co/VUlFEQxHcm https://t.co/mKIogoTz7B",1267244461391843328,1152258465819217921,,88,,,0,0
17,Sun May 31 23:59:58 +0000 2020,RT @cmc4diversity: Biden goes to meet protesters while Trump hides in the White House - https://t.co/LGAwjvUXcr,1267244460712189955,991903855,"Arizona, USA",2978,,,0,0
18,Sun May 31 23:59:58 +0000 2020,RT @GaBrat66: Biden Center at the University of Pennsylvania is Under Fire for Accepting $70 Million From China and not Reporting It https:…,1267244460368248834,4294800454,All Over The WORLD,1345,,,0,0
19,Sun May 31 23:59:58 +0000 2020,"RT @MarsFergus: @QAnon_Report Anarchist All … 

Soros, Antifa, Professors, Dems, MSM, &amp; Twitter

champion the destruction of families

cham…",1267244460196290560,528834268,"Alberta, Canada",529,,,0,0
20,Sun May 31 23:59:58 +0000 2020,"RT @AngrierWHStaff: Trump: shitposting from his bunker 

Biden: marching with protestors",1267244459516928001,823226868774170624,"Massachusetts, USA",218,,,0,0
21,Sun May 31 23:59:58 +0000 2020,"RT @Timcast: Are people going to vote for the guy whose campaign is funding the rioters?

https://t.co/sKlswM198Q",1267244459361738755,1223649587086446592,Nowhere,270,,,0,0
22,Sun May 31 23:59:57 +0000 2020,RT @BlueKentuckyGal: Biden goes out to meet with protesters while Trump tweets.,1267244458896248836,1216136090001821698,,19,,,0,0
23,Sun May 31 23:59:57 +0000 2020,RT @cbouzy: Biden is out in the streets meeting with protesters while Trump is hiding in a bunker like Hitler during the last days of WWII.,1267244458577297409,22435995,"San Francisco, CA",1228,,,0,0
24,Sun May 31 23:59:57 +0000 2020,"RT @AngrierWHStaff: Trump: shitposting from his bunker 

Biden: marching with protestors",1267244458468347907,18459537,USA,146,,,0,0
25,Sun May 31 23:59:57 +0000 2020,"RT @AngrierWHStaff: Trump: shitposting from his bunker 

Biden: marching with protestors",1267244457956716544,2160553804," Collegeville, PA",1536,,,0,0
26,Sun May 31 23:59:57 +0000 2020,"@jeremiah4north Like father, like son. 
Unlike drug addict Hunter Biden, President Trump raised the best children.",1267244457700843526,1166817860364177408,,8197,,,0,0
27,Sun May 31 23:59:57 +0000 2020,RT @StephenKing: Both Trump and Biden spoke to George Floyd’s brother. Biden listened. Trump didn’t even give Philonise Floyd a chance to s…,1267244457079914496,1237810352835792896,,26,,,0,0
28,Sun May 31 23:59:57 +0000 2020,@LoveUSADawn @dbongino @jtimberlake @POTUS Because he’s afraid to lead - when it came time to serve in Nam he chick… https://t.co/xNKXeo7n6Z,1267244455725318149,976602710672920577,"Ellington, CT",481,,,5,20
29,Sun May 31 23:59:57 +0000 2020,"RT @smalltownandrew: Joe Biden just posed with riotere in Baltimore. 

How pathetic and a total lack of leadership
https://t.co/FQUuADHPZO",1267244455293263874,882698347836055552,United States,11783,,,0,0
30,Sun May 31 23:59:57 +0000 2020,"RT @DemSandiL: @maggieNYT @peterbakernyt Trump: Hiding in a bunker.

Biden: Out meeting protesters and listening to their concerns.

We nee…",1267244455054082049,277796372,CA,1086,,,0,0
31,Sun May 31 23:59:56 +0000 2020,@DeniseShearin @PhilipRucker @mattdpearce Let’s Go! Joe Biden!,1267244454605320193,1265653750074470400,,445,,,3,103
32,Sun May 31 23:59:56 +0000 2020,I wish I could believe this. https://t.co/fQNwrph17l,1267244454567542784,48211058,Staying home Keeping the faith,573,,,0,0
33,Sun May 31 23:59:56 +0000 2020,"RT @GOPChairwoman: While it took Joe Biden days to condemn the violence we’re seeing in cities across the country, @realDonaldTrump spoke o…",1267244454353817607,519611939,,212,,,0,0
34,Sun May 31 23:59:56 +0000 2020,"RT @AngrierWHStaff: Trump: shitposting from his bunker 

Biden: marching with protestors",1267244453707706368,49604657,"Arizona, USA",17,,,0,0
35,Sun May 31 23:59:56 +0000 2020,"RT @RealKiraDavis: Trump campaign ad: Cut in footage of innocent business owners and civilians being brutally beaten by ""protesters"" with f…",1267244453300969472,109572145,,3371,,,0,0
36,Sun May 31 23:59:56 +0000 2020,RT @SimplyCLLC: @Stop_Trump20 Me. I voted for him. Figured why not give him a chance. Well he blew it. Big time. He's nothing but a 2 bit c…,1267244452705263619,1066032735842590721,Earth Bound Misfit,858,,,0,0
37,Sun May 31 23:59:56 +0000 2020,"RT @atensnut: Biden Staffers, Celebrities Scramble To Funnel Bail Money To Rioters - The Daily Caller https://t.co/mTL5sjTTq0",1267244451967258624,1505915954,,3424,,,0,0
38,Sun May 31 23:59:56 +0000 2020,RT @StephenKing: Both Trump and Biden spoke to George Floyd’s brother. Biden listened. Trump didn’t even give Philonise Floyd a chance to s…,1267244451635888128,1213670478897762304,North of reality,3516,,,0,0
39,Sun May 31 23:59:56 +0000 2020,"RT @MillenPolitics: “Where is Joe Biden?” Meeting with protestors. 

Where is Trump? Trying to start a race war. 

One is not like the othe…",1267244451308634119,217895850,"  Burlington, Ontario Canada",1843,,,0,0
40,Sun May 31 23:59:56 +0000 2020,RT @NBCNews: Opinion | Kurt Bardella: President Trump vs. Joe Biden? This coronavirus mask photo may be 2020's best Rorschach test. https:/…,1267244451111583744,292014151,,241,,,0,0
41,Sun May 31 23:59:56 +0000 2020,@NotAbouThatBase That's because Trump and his followers are no more conservative than Biden and the Dems.  They are… https://t.co/F82qedQQiY,1267244451090530305,26222635,,197,,,0,1
42,Sun May 31 23:59:55 +0000 2020,"RT @GMA: BREAKING TONIGHT: Demonstrations continue once again in Minneapolis, NYC, LA and more across the nation.

https://t.co/B9jCfV8wI9",1267244450033668104,32667658,The TARDIS (I wish!!),242,,,0,0
