,created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count
0,Thu May 28 23:59:59 +0000 2020,"RT @michaeljohns: Biden Center at University of Pennsylvania failed to disclose millions of dollars in donations from China, @NLPC complain…",1266157302807015424,733815589,South of Yosemite ,3885,,,0,0
1,Thu May 28 23:59:59 +0000 2020,"RT @catturd2: Speaking of election interference. 

Why is Joe Biden in my timeline -when I don’t follow him and don’t give a damn what he h…",1266157302610120704,1266056868453060609,,1055,,,0,0
2,Thu May 28 23:59:59 +0000 2020,RT @JRubinBlogger: agree - have long thought naming a Cabinet now gives added incentive to get rid of Trump  https://t.co/4as1k6T2HK,1266157302081445889,276606945,NM,3797,,,0,0
3,Thu May 28 23:59:59 +0000 2020,"RT @56blackcat: Loved this front Joe Biden,
worth another look ~ https://t.co/tWoqkmm0DU",1266157301968384000,3856305322,Unimatrix Zero,16573,,,0,0
4,Thu May 28 23:59:59 +0000 2020,"RT @DavidJHarrisJr: Joe Biden refuses to say how much money flowed into his nonprofits from China.
https://t.co/AoybEbUKVg",1266157299892129793,482762059,Virginia,43,,,0,0
5,Thu May 28 23:59:58 +0000 2020,"RT @RealJamesWoods: While Biden’s hidin’, the world marches on... #BasementBiden",1266157299481133057,849681175153172480,,6,,,0,0
6,Thu May 28 23:59:58 +0000 2020,"@zachsjacobson @ewarren Joe ""Did I just shart myself again?"" Biden? Sure.",1266157298147180544,799468933631746048,,115,,,0,3
7,Thu May 28 23:59:58 +0000 2020,RT @joncoopertweets: .@JoeBiden’s campaign is now selling these Biden-branded face masks. Most of the price goes towards a campaign donatio…,1266157297769877506,14247236,,711440,,,0,0
8,Thu May 28 23:59:58 +0000 2020,RT @newtgingrich: A new poll in the @washtimes finds that voters in nine swing states favor @realdonaldtrump over Joe Biden to hold China a…,1266157296394084353,705104718629052416,"Alabama, USA🇺🇸🍷",835,,,0,0
9,Thu May 28 23:59:57 +0000 2020,@thomaskaine5 It would be a brilliant choice. She is exceptionally talented and she would fiercely guard his back.… https://t.co/ihGNG8tFIK,1266157293738946561,892995855229124610,"Hobart, Tasmania, Australia",13581,,,5,41
10,Thu May 28 23:59:57 +0000 2020,"RT @sahouraxo: Amy Klobuchar protected the cop who murdered #GeorgeFloyd.

Just like Kamala Harris kept innocent Jamal Trulove behind bars.…",1266157293676216320,2970512211,"New Jersey, USA",121,,,0,0
11,Thu May 28 23:59:57 +0000 2020,"RT @JoeBiden: Today, we learned that another 2.1 million people filed for unemployment last week, bringing the total number of new claims s…",1266157293613264897,1156392218007080961,,6,,,0,0
12,Thu May 28 23:59:57 +0000 2020,RT @kylegriffin1: The Biden campaign is now selling face masks. https://t.co/pTh5H6eUH4,1266157292149518336,1193337091851243521,Ohio,231,,,0,0
13,Thu May 28 23:59:56 +0000 2020,RT @AdvocateWriter: Why does no one seem to notice that the #fakenews media has suddenly changed the narrative from #WuFlu to #BlackLivesMa…,1266157291402719232,1243725792313401344,"Wenatchee, WA",2201,,,0,0
14,Thu May 28 23:59:56 +0000 2020,"RT @grh4345: Love the New @PressSec she is a fighter and smart and the press can’t take it!
Boom: Kayleigh McEnany Dropkicks Chris Wallace…",1266157291079897088,3616347075,,24989,,,0,0
15,Thu May 28 23:59:56 +0000 2020,"Dangerously frightening to have Creepy, sleazy, senility Joe Biden as potential nomineee for the presidential posit… https://t.co/zwJsrWa7iT",1266157288894558212,1067856216158806017,,25,,,0,0
16,Thu May 28 23:59:56 +0000 2020,"RT @ProfJSCarberry: @RachelBitecofer @nytopinion Morever, Biden hasn't been able to ""unlock"" Sanders' online small donors: He needs the ent…",1266157288022110208,1106658499893682176,"Oakland, CA",34,,,0,0
17,Thu May 28 23:59:55 +0000 2020,"RT @e_iaco: GOV Crime Family 

POTUS BO: Criminal 
VP Biden: (idiot) Criminal 
SS Kerry: Criminal 
AG Lynch: Criminal 
NSA Rice: Criminal…",1266157286390730753,4460783800,Chicago,16766,,,0,0
18,Thu May 28 23:59:55 +0000 2020,"RT @TrumpWarRoom: Notice a pattern here?

James Comey -- campaigning for Democrats

Andrew McCabe -- fundraising for Democrats

Sally Yates…",1266157285698670598,1005230596610838531,"Louisiana, USA",11,,,0,0
19,Thu May 28 23:59:55 +0000 2020,RT @jackturmanIII: Joe Biden's fundraiser tonight hosted by Sen. Tammy Duckworth raised $1.6 million according to a source familiar with th…,1266157285589598208,261769179,"Washington, DC",1341,,,0,0
20,Thu May 28 23:59:55 +0000 2020,RT @TrumpWarRoom: @JoeBiden Joe Biden is rooting for America to stay shutdown. He is spreading misinformation about testing capacity and op…,1266157284943527937,4251597672,,1400,,,0,0
21,Thu May 28 23:59:55 +0000 2020,RT @Toure: If Joe Biden wants to depress Black turnout he should definitely pick Amy Klobuchar so we can sit around talking about the crime…,1266157284457156609,343052520,,44,,,0,0
22,Thu May 28 23:59:55 +0000 2020,RT @VicToensing: Reason @AGWilliamBarr says he“does not expect”Obama/Biden to be investigated is not related to whether they committed crim…,1266157284163452928,244605913,"Ohio, USA",5118,,,0,0
23,Thu May 28 23:59:55 +0000 2020,RT @cheryllausch: I don’t have tons of followers &amp; I know Biden wasn’t everybody’s first choice but in my heart I know @JoeBiden will work…,1266157283828027397,779855403131645954,United States,3295,,,0,0
24,Thu May 28 23:59:55 +0000 2020,bayden              vs                biden😔 https://t.co/90iXdZk70R,1266157283576291334,2749330918,dmv,711,,,2,53
25,Thu May 28 23:59:55 +0000 2020,RT @kilonova_gold: Seven months ago. Biden is ready to lead us now. #VoteBlueToSaveAmerica2020 #GoJoe #Biden2020 https://t.co/04lJtvsu6f,1266157283056238596,22179098,New Jersey,16420,,,0,0
