date,trump republican party,isPartial
2020-05-27,16,False
2020-05-28,32,False
2020-05-29,22,False
2020-05-30,25,False
2020-05-31,13,False
2020-06-01,56,False
2020-06-02,61,False
2020-06-03,73,False
2020-06-04,42,False
2020-06-05,54,False
2020-06-06,75,False
2020-06-07,51,False
2020-06-08,73,False
2020-06-09,32,False
2020-06-10,55,False
2020-06-11,11,False
2020-06-12,29,False
2020-06-13,33,False
2020-06-14,40,False
2020-06-15,40,False
2020-06-16,39,False
2020-06-17,69,False
2020-06-18,45,False
2020-06-19,35,False
2020-06-20,33,False
2020-06-21,60,False
2020-06-22,52,False
2020-06-23,40,False
2020-06-24,40,False
2020-06-25,52,False
2020-06-26,18,False
2020-06-27,40,False
2020-06-28,77,False
2020-06-29,47,False
2020-06-30,29,False
2020-07-01,47,False
2020-07-02,41,False
2020-07-03,63,False
2020-07-04,57,False
2020-07-05,72,False
2020-07-06,52,False
2020-07-07,41,False
2020-07-08,41,False
2020-07-09,53,False
2020-07-10,67,False
2020-07-11,100,False
