date,final_score
2016-10-08,94.47763504101533
2016-10-09,94.26137985725614
2016-10-10,92.2420814479638
2016-10-11,99.33380525405066
2016-10-12,94.64612295335186
2016-10-13,98.15727187791965
2016-10-14,92.16317016317016
2016-10-15,97.16564417177914
2016-10-16,95.0411002718695
2016-10-17,97.52255761116521
2016-10-18,91.95192307692308
2016-10-19,93.0045632333768
2016-10-20,114.02197802197803
2016-10-21,98.21591857166695
2016-10-22,97.58829025225786
2016-10-23,95.47817047817048
2016-10-24,96.24753673292999
2016-10-25,93.2541921746074
2016-10-26,93.76366612111293
2016-10-27,97.45025849913833
2016-10-28,94.41224489795918
2016-10-29,105.76104746317512
2016-10-30,95.43669871794872
2016-10-31,97.71589743589743
2016-11-01,99.73162049218388
2016-11-02,97.31252415925783
2016-11-03,106.48211660950514
2016-11-04,94.86681054416525
2016-11-05,94.56405055390857
2016-11-06,95.29144768275204
